AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0-19|0.0|0.1|0.0|Malignant|38|82005260|Male and Female|Neoplasm, unspecified|2005|0.0|0.1|0.0
0-19|0.1|0.2|0.1|Benign/Borderline|106|82324418|Male and Female|Neoplasm, unspecified|2006|0.1|0.2|0.1
0-19|0.0|0.1|0.1|Malignant|50|82324418|Male and Female|Neoplasm, unspecified|2006|0.0|0.1|0.1
0-19|0.1|0.2|0.1|Benign/Borderline|117|82749431|Male and Female|Neoplasm, unspecified|2007|0.1|0.2|0.1
0-19|0.0|0.1|0.0|Malignant|38|82749431|Male and Female|Neoplasm, unspecified|2007|0.0|0.1|0.0
0-19|0.1|0.2|0.2|Benign/Borderline|129|83118264|Male and Female|Neoplasm, unspecified|2008|0.1|0.2|0.2
0-19|0.0|0.1|0.0|Malignant|32|83118264|Male and Female|Neoplasm, unspecified|2008|0.0|0.1|0.0
0-19|0.2|0.2|0.2|Benign/Borderline|153|83280391|Male and Female|Neoplasm, unspecified|2009|0.2|0.2|0.2
0-19|0.0|0.1|0.0|Malignant|37|83280391|Male and Female|Neoplasm, unspecified|2009|0.0|0.1|0.0
0-19|0.2|0.2|0.2|Benign/Borderline|169|83184292|Male and Female|Neoplasm, unspecified|2010|0.2|0.2|0.2
0-19|0.0|0.0|0.0|Malignant|27|83184292|Male and Female|Neoplasm, unspecified|2010|0.0|0.0|0.0
0-19|0.1|0.2|0.2|Benign/Borderline|138|82838469|Male and Female|Neoplasm, unspecified|2011|0.1|0.2|0.2
0-19|0.0|0.1|0.0|Malignant|35|82838469|Male and Female|Neoplasm, unspecified|2011|0.0|0.1|0.0
0-19|0.1|0.2|0.2|Benign/Borderline|136|82501478|Male and Female|Neoplasm, unspecified|2012|0.1|0.2|0.2
0-19|0.0|0.1|0.1|Malignant|54|82501478|Male and Female|Neoplasm, unspecified|2012|0.0|0.1|0.1
0-19|0.1|0.2|0.2|Benign/Borderline|144|82271238|Male and Female|Neoplasm, unspecified|2013|0.1|0.2|0.2
0-19|0.0|0.1|0.0|Malignant|40|82271238|Male and Female|Neoplasm, unspecified|2013|0.0|0.1|0.0
0-19|0.2|0.2|0.2|Benign/Borderline|150|82139198|Male and Female|Neoplasm, unspecified|2014|0.2|0.2|0.2
0-19|0.0|0.1|0.1|Malignant|47|82139198|Male and Female|Neoplasm, unspecified|2014|0.0|0.1|0.1
0-19|0.1|0.2|0.2|Benign/Borderline|145|82120410|Male and Female|Neoplasm, unspecified|2015|0.1|0.2|0.2
0-19|0.0|0.1|0.0|Malignant|36|82120410|Male and Female|Neoplasm, unspecified|2015|0.0|0.1|0.0
0-19|0.1|0.2|0.1|Benign/Borderline|609|406294186|Male and Female|Neoplasm, unspecified|2015-2019|0.1|0.2|0.1
0-19|0.0|0.1|0.1|Malignant|210|406294186|Male and Female|Neoplasm, unspecified|2015-2019|0.0|0.1|0.1
0-19|0.1|0.2|0.1|Benign/Borderline|123|82161437|Male and Female|Neoplasm, unspecified|2016|0.1|0.2|0.1
0-19|0.0|0.1|0.1|Malignant|45|82161437|Male and Female|Neoplasm, unspecified|2016|0.0|0.1|0.1
0-19|0.1|0.2|0.1|Benign/Borderline|121|82114364|Male and Female|Neoplasm, unspecified|2017|0.1|0.2|0.1
0-19|0.0|0.1|0.1|Malignant|50|82114364|Male and Female|Neoplasm, unspecified|2017|0.0|0.1|0.1
0-19|0.1|0.2|0.2|Benign/Borderline|127|81200720|Male and Female|Neoplasm, unspecified|2018|0.1|0.2|0.2
0-19|0.0|0.1|0.1|Malignant|43|81200720|Male and Female|Neoplasm, unspecified|2018|0.0|0.1|0.1
0-19|0.1|0.1|0.1|Benign/Borderline|95|80916924|Male and Female|Neoplasm, unspecified|2019|0.1|0.1|0.1
0-19|0.0|0.1|0.1|Malignant|42|80916924|Male and Female|Neoplasm, unspecified|2019|0.0|0.1|0.1
0-19|0.3|0.3|0.3|Benign/Borderline|242|81754354|Male and Female|Nerve sheath, benign and malignant|2004|0.3|0.3|0.3
0-19|~|~|~|Malignant|~|81754354|Male and Female|Nerve sheath, benign and malignant|2004|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|290|82005260|Male and Female|Nerve sheath, benign and malignant|2005|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|82005260|Male and Female|Nerve sheath, benign and malignant|2005|~|~|~
0-19|0.4|0.5|0.4|Benign/Borderline|336|82324418|Male and Female|Nerve sheath, benign and malignant|2006|0.4|0.5|0.4
0-19|~|~|~|Malignant|~|82324418|Male and Female|Nerve sheath, benign and malignant|2006|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|294|82749431|Male and Female|Nerve sheath, benign and malignant|2007|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|82749431|Male and Female|Nerve sheath, benign and malignant|2007|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|295|83118264|Male and Female|Nerve sheath, benign and malignant|2008|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|83118264|Male and Female|Nerve sheath, benign and malignant|2008|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|313|83280391|Male and Female|Nerve sheath, benign and malignant|2009|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|83280391|Male and Female|Nerve sheath, benign and malignant|2009|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|278|83184292|Male and Female|Nerve sheath, benign and malignant|2010|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|83184292|Male and Female|Nerve sheath, benign and malignant|2010|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|285|82838469|Male and Female|Nerve sheath, benign and malignant|2011|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|82838469|Male and Female|Nerve sheath, benign and malignant|2011|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|303|82501478|Male and Female|Nerve sheath, benign and malignant|2012|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|82501478|Male and Female|Nerve sheath, benign and malignant|2012|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|318|82271238|Male and Female|Nerve sheath, benign and malignant|2013|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|82271238|Male and Female|Nerve sheath, benign and malignant|2013|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|258|82139198|Male and Female|Nerve sheath, benign and malignant|2014|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|82139198|Male and Female|Nerve sheath, benign and malignant|2014|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|311|82120410|Male and Female|Nerve sheath, benign and malignant|2015|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|82120410|Male and Female|Nerve sheath, benign and malignant|2015|~|~|~
0-19|0.3|0.3|0.3|Benign/Borderline|1190|406294186|Male and Female|Nerve sheath, benign and malignant|2015-2019|0.3|0.3|0.3
0-19|~|~|~|Malignant|~|406294186|Male and Female|Nerve sheath, benign and malignant|2015-2019|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|311|82161437|Male and Female|Nerve sheath, benign and malignant|2016|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|82161437|Male and Female|Nerve sheath, benign and malignant|2016|~|~|~
0-19|0.3|0.3|0.3|Benign/Borderline|237|82114364|Male and Female|Nerve sheath, benign and malignant|2017|0.3|0.3|0.3
0-19|~|~|~|Malignant|~|82114364|Male and Female|Nerve sheath, benign and malignant|2017|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|169|81200720|Male and Female|Nerve sheath, benign and malignant|2018|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|81200720|Male and Female|Nerve sheath, benign and malignant|2018|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|163|80916924|Male and Female|Nerve sheath, benign and malignant|2019|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|80916924|Male and Female|Nerve sheath, benign and malignant|2019|~|~|~
0-19|~|~|~|Benign/Borderline|~|81754354|Male and Female|Neuroepithelial|2004|~|~|~
0-19|~|~|~|Malignant|~|81754354|Male and Female|Neuroepithelial|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|82005260|Male and Female|Neuroepithelial|2005|~|~|~
0-19|~|~|~|Malignant|~|82005260|Male and Female|Neuroepithelial|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|82324418|Male and Female|Neuroepithelial|2006|~|~|~
0-19|~|~|~|Malignant|~|82324418|Male and Female|Neuroepithelial|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|82749431|Male and Female|Neuroepithelial|2007|~|~|~
0-19|~|~|~|Malignant|~|82749431|Male and Female|Neuroepithelial|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|83118264|Male and Female|Neuroepithelial|2008|~|~|~
0-19|~|~|~|Malignant|~|83118264|Male and Female|Neuroepithelial|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|83280391|Male and Female|Neuroepithelial|2009|~|~|~
0-19|~|~|~|Malignant|~|83280391|Male and Female|Neuroepithelial|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|83184292|Male and Female|Neuroepithelial|2010|~|~|~
0-19|~|~|~|Malignant|~|83184292|Male and Female|Neuroepithelial|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|82838469|Male and Female|Neuroepithelial|2011|~|~|~
0-19|~|~|~|Malignant|~|82838469|Male and Female|Neuroepithelial|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|82501478|Male and Female|Neuroepithelial|2012|~|~|~
0-19|~|~|~|Malignant|~|82501478|Male and Female|Neuroepithelial|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|82271238|Male and Female|Neuroepithelial|2013|~|~|~
0-19|~|~|~|Malignant|~|82271238|Male and Female|Neuroepithelial|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|82139198|Male and Female|Neuroepithelial|2014|~|~|~
0-19|~|~|~|Malignant|~|82139198|Male and Female|Neuroepithelial|2014|~|~|~
0-19|~|~|~|Benign/Borderline|~|82120410|Male and Female|Neuroepithelial|2015|~|~|~
0-19|~|~|~|Malignant|~|82120410|Male and Female|Neuroepithelial|2015|~|~|~
0-19|~|~|~|Benign/Borderline|~|406294186|Male and Female|Neuroepithelial|2015-2019|~|~|~
0-19|0.0|0.0|0.0|Malignant|30|406294186|Male and Female|Neuroepithelial|2015-2019|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|82161437|Male and Female|Neuroepithelial|2016|~|~|~
0-19|~|~|~|Malignant|~|82161437|Male and Female|Neuroepithelial|2016|~|~|~
0-19|~|~|~|Benign/Borderline|~|82114364|Male and Female|Neuroepithelial|2017|~|~|~
0-19|~|~|~|Malignant|~|82114364|Male and Female|Neuroepithelial|2017|~|~|~
0-19|~|~|~|Benign/Borderline|~|81200720|Male and Female|Neuroepithelial|2018|~|~|~
0-19|~|~|~|Malignant|~|81200720|Male and Female|Neuroepithelial|2018|~|~|~
0-19|~|~|~|Benign/Borderline|~|80916924|Male and Female|Neuroepithelial|2019|~|~|~
0-19|~|~|~|Malignant|~|80916924|Male and Female|Neuroepithelial|2019|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|265|81754354|Male and Female|Neuronal/glial, neuronal|2004|0.3|0.4|0.3
0-19|0.0|0.1|0.1|Malignant|51|81754354|Male and Female|Neuronal/glial, neuronal|2004|0.0|0.1|0.1
0-19|0.3|0.4|0.4|Benign/Borderline|296|82005260|Male and Female|Neuronal/glial, neuronal|2005|0.3|0.4|0.4
0-19|0.1|0.1|0.1|Malignant|57|82005260|Male and Female|Neuronal/glial, neuronal|2005|0.1|0.1|0.1
0-19|0.3|0.4|0.3|Benign/Borderline|283|82324418|Male and Female|Neuronal/glial, neuronal|2006|0.3|0.4|0.3
0-19|0.0|0.1|0.1|Malignant|53|82324418|Male and Female|Neuronal/glial, neuronal|2006|0.0|0.1|0.1
0-19|0.3|0.4|0.4|Benign/Borderline|315|82749431|Male and Female|Neuronal/glial, neuronal|2007|0.3|0.4|0.4
0-19|0.1|0.1|0.1|Malignant|63|82749431|Male and Female|Neuronal/glial, neuronal|2007|0.1|0.1|0.1
0-19|0.3|0.4|0.4|Benign/Borderline|314|83118264|Male and Female|Neuronal/glial, neuronal|2008|0.3|0.4|0.4
0-19|0.1|0.1|0.1|Malignant|56|83118264|Male and Female|Neuronal/glial, neuronal|2008|0.1|0.1|0.1
0-19|0.3|0.4|0.4|Benign/Borderline|297|83280391|Male and Female|Neuronal/glial, neuronal|2009|0.3|0.4|0.4
0-19|0.0|0.1|0.0|Malignant|35|83280391|Male and Female|Neuronal/glial, neuronal|2009|0.0|0.1|0.0
0-19|0.3|0.4|0.4|Benign/Borderline|317|83184292|Male and Female|Neuronal/glial, neuronal|2010|0.3|0.4|0.4
0-19|0.0|0.1|0.0|Malignant|34|83184292|Male and Female|Neuronal/glial, neuronal|2010|0.0|0.1|0.0
0-19|0.4|0.5|0.4|Benign/Borderline|346|82838469|Male and Female|Neuronal/glial, neuronal|2011|0.4|0.5|0.4
0-19|0.0|0.1|0.0|Malignant|36|82838469|Male and Female|Neuronal/glial, neuronal|2011|0.0|0.1|0.0
0-19|0.4|0.5|0.4|Benign/Borderline|361|82501478|Male and Female|Neuronal/glial, neuronal|2012|0.4|0.5|0.4
0-19|0.0|0.1|0.0|Malignant|39|82501478|Male and Female|Neuronal/glial, neuronal|2012|0.0|0.1|0.0
0-19|0.4|0.5|0.4|Benign/Borderline|353|82271238|Male and Female|Neuronal/glial, neuronal|2013|0.4|0.5|0.4
0-19|0.0|0.1|0.1|Malignant|45|82271238|Male and Female|Neuronal/glial, neuronal|2013|0.0|0.1|0.1
0-19|0.4|0.5|0.4|Benign/Borderline|336|82139198|Male and Female|Neuronal/glial, neuronal|2014|0.4|0.5|0.4
0-19|0.1|0.1|0.1|Malignant|56|82139198|Male and Female|Neuronal/glial, neuronal|2014|0.1|0.1|0.1
0-19|0.4|0.5|0.5|Benign/Borderline|389|82120410|Male and Female|Neuronal/glial, neuronal|2015|0.4|0.5|0.5
0-19|0.0|0.1|0.1|Malignant|43|82120410|Male and Female|Neuronal/glial, neuronal|2015|0.0|0.1|0.1
0-19|0.4|0.5|0.5|Benign/Borderline|1906|406294186|Male and Female|Neuronal/glial, neuronal|2015-2019|0.4|0.5|0.5
0-19|0.0|0.1|0.1|Malignant|229|406294186|Male and Female|Neuronal/glial, neuronal|2015-2019|0.0|0.1|0.1
0-19|0.5|0.6|0.5|Benign/Borderline|413|82161437|Male and Female|Neuronal/glial, neuronal|2016|0.5|0.6|0.5
0-19|0.0|0.1|0.1|Malignant|54|82161437|Male and Female|Neuronal/glial, neuronal|2016|0.0|0.1|0.1
0-19|0.4|0.5|0.5|Benign/Borderline|406|82114364|Male and Female|Neuronal/glial, neuronal|2017|0.4|0.5|0.5
0-19|0.0|0.1|0.0|Malignant|39|82114364|Male and Female|Neuronal/glial, neuronal|2017|0.0|0.1|0.0
0-19|0.4|0.5|0.4|Benign/Borderline|355|81200720|Male and Female|Neuronal/glial, neuronal|2018|0.4|0.5|0.4
0-19|0.0|0.1|0.1|Malignant|50|81200720|Male and Female|Neuronal/glial, neuronal|2018|0.0|0.1|0.1
0-19|0.4|0.5|0.4|Benign/Borderline|351|80916924|Male and Female|Neuronal/glial, neuronal|2019|0.4|0.5|0.4
0-19|0.0|0.1|0.1|Malignant|44|80916924|Male and Female|Neuronal/glial, neuronal|2019|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|81754354|Male and Female|Oligodendroglioma|2004|~|~|~
0-19|0.1|0.1|0.1|Malignant|62|81754354|Male and Female|Oligodendroglioma|2004|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|82005260|Male and Female|Oligodendroglioma|2005|~|~|~
0-19|0.0|0.1|0.1|Malignant|52|82005260|Male and Female|Oligodendroglioma|2005|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|82324418|Male and Female|Oligodendroglioma|2006|~|~|~
0-19|0.0|0.1|0.1|Malignant|54|82324418|Male and Female|Oligodendroglioma|2006|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|82749431|Male and Female|Oligodendroglioma|2007|~|~|~
0-19|0.0|0.1|0.1|Malignant|52|82749431|Male and Female|Oligodendroglioma|2007|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|83118264|Male and Female|Oligodendroglioma|2008|~|~|~
0-19|0.0|0.1|0.1|Malignant|49|83118264|Male and Female|Oligodendroglioma|2008|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|83280391|Male and Female|Oligodendroglioma|2009|~|~|~
0-19|0.0|0.1|0.1|Malignant|43|83280391|Male and Female|Oligodendroglioma|2009|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|83184292|Male and Female|Oligodendroglioma|2010|~|~|~
0-19|0.0|0.1|0.1|Malignant|44|83184292|Male and Female|Oligodendroglioma|2010|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|82838469|Male and Female|Oligodendroglioma|2011|~|~|~
0-19|0.0|0.1|0.0|Malignant|37|82838469|Male and Female|Oligodendroglioma|2011|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|82501478|Male and Female|Oligodendroglioma|2012|~|~|~
0-19|0.0|0.1|0.1|Malignant|47|82501478|Male and Female|Oligodendroglioma|2012|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|82271238|Male and Female|Oligodendroglioma|2013|~|~|~
0-19|0.0|0.1|0.0|Malignant|36|82271238|Male and Female|Oligodendroglioma|2013|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|82139198|Male and Female|Oligodendroglioma|2014|~|~|~
0-19|0.0|0.1|0.0|Malignant|38|82139198|Male and Female|Oligodendroglioma|2014|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|82120410|Male and Female|Oligodendroglioma|2015|~|~|~
0-19|0.0|0.1|0.0|Malignant|36|82120410|Male and Female|Oligodendroglioma|2015|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|406294186|Male and Female|Oligodendroglioma|2015-2019|~|~|~
0-19|0.0|0.0|0.0|Malignant|142|406294186|Male and Female|Oligodendroglioma|2015-2019|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|82161437|Male and Female|Oligodendroglioma|2016|~|~|~
0-19|0.0|0.1|0.0|Malignant|38|82161437|Male and Female|Oligodendroglioma|2016|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|82114364|Male and Female|Oligodendroglioma|2017|~|~|~
0-19|0.0|0.0|0.0|Malignant|27|82114364|Male and Female|Oligodendroglioma|2017|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|81200720|Male and Female|Oligodendroglioma|2018|~|~|~
0-19|0.0|0.0|0.0|Malignant|23|81200720|Male and Female|Oligodendroglioma|2018|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|80916924|Male and Female|Oligodendroglioma|2019|~|~|~
0-19|0.0|0.0|0.0|Malignant|19|80916924|Male and Female|Oligodendroglioma|2019|0.0|0.0|0.0
0-19|0.0|0.0|0.0|Benign/Borderline|27|81754354|Male and Female|Other mesenchymal|2004|0.0|0.0|0.0
0-19|~|~|~|Malignant|~|81754354|Male and Female|Other mesenchymal|2004|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|40|82005260|Male and Female|Other mesenchymal|2005|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|82005260|Male and Female|Other mesenchymal|2005|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|38|82324418|Male and Female|Other mesenchymal|2006|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|82324418|Male and Female|Other mesenchymal|2006|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|31|82749431|Male and Female|Other mesenchymal|2007|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|82749431|Male and Female|Other mesenchymal|2007|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|39|83118264|Male and Female|Other mesenchymal|2008|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|83118264|Male and Female|Other mesenchymal|2008|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|50|83280391|Male and Female|Other mesenchymal|2009|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|83280391|Male and Female|Other mesenchymal|2009|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|53|83184292|Male and Female|Other mesenchymal|2010|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|83184292|Male and Female|Other mesenchymal|2010|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|62|82838469|Male and Female|Other mesenchymal|2011|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|82838469|Male and Female|Other mesenchymal|2011|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|96|82501478|Male and Female|Other mesenchymal|2012|0.1|0.1|0.1
0-19|0.0|0.0|0.0|Malignant|16|82501478|Male and Female|Other mesenchymal|2012|0.0|0.0|0.0
0-19|0.1|0.1|0.1|Benign/Borderline|77|82271238|Male and Female|Other mesenchymal|2013|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|82271238|Male and Female|Other mesenchymal|2013|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|76|82139198|Male and Female|Other mesenchymal|2014|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|82139198|Male and Female|Other mesenchymal|2014|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|85|82120410|Male and Female|Other mesenchymal|2015|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|82120410|Male and Female|Other mesenchymal|2015|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|431|406294186|Male and Female|Other mesenchymal|2015-2019|0.1|0.1|0.1
0-19|0.0|0.0|0.0|Malignant|69|406294186|Male and Female|Other mesenchymal|2015-2019|0.0|0.0|0.0
0-19|0.1|0.2|0.1|Benign/Borderline|102|82161437|Male and Female|Other mesenchymal|2016|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|82161437|Male and Female|Other mesenchymal|2016|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|94|82114364|Male and Female|Other mesenchymal|2017|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|82114364|Male and Female|Other mesenchymal|2017|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|90|81200720|Male and Female|Other mesenchymal|2018|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|81200720|Male and Female|Other mesenchymal|2018|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|60|80916924|Male and Female|Other mesenchymal|2019|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|80916924|Male and Female|Other mesenchymal|2019|~|~|~
0-19|~|~|~|Benign/Borderline|~|81754354|Male and Female|Pilocytic astrocytoma|2004|~|~|~
0-19|0.8|0.9|0.9|Malignant|701|81754354|Male and Female|Pilocytic astrocytoma|2004|0.8|0.9|0.9
0-19|~|~|~|Benign/Borderline|~|82005260|Male and Female|Pilocytic astrocytoma|2005|~|~|~
0-19|0.8|0.9|0.8|Malignant|679|82005260|Male and Female|Pilocytic astrocytoma|2005|0.8|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|82324418|Male and Female|Pilocytic astrocytoma|2006|~|~|~
0-19|0.8|0.9|0.8|Malignant|677|82324418|Male and Female|Pilocytic astrocytoma|2006|0.8|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|82749431|Male and Female|Pilocytic astrocytoma|2007|~|~|~
0-19|0.8|0.9|0.8|Malignant|692|82749431|Male and Female|Pilocytic astrocytoma|2007|0.8|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|83118264|Male and Female|Pilocytic astrocytoma|2008|~|~|~
0-19|0.8|1.0|0.9|Malignant|733|83118264|Male and Female|Pilocytic astrocytoma|2008|0.8|0.9|0.9
0-19|~|~|~|Benign/Borderline|~|83280391|Male and Female|Pilocytic astrocytoma|2009|~|~|~
0-19|0.8|0.9|0.9|Malignant|729|83280391|Male and Female|Pilocytic astrocytoma|2009|0.8|0.9|0.9
0-19|~|~|~|Benign/Borderline|~|83184292|Male and Female|Pilocytic astrocytoma|2010|~|~|~
0-19|0.9|1.0|0.9|Malignant|779|83184292|Male and Female|Pilocytic astrocytoma|2010|0.9|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|82838469|Male and Female|Pilocytic astrocytoma|2011|~|~|~
0-19|0.9|1.0|0.9|Malignant|763|82838469|Male and Female|Pilocytic astrocytoma|2011|0.9|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|82501478|Male and Female|Pilocytic astrocytoma|2012|~|~|~
0-19|0.9|1.1|1.0|Malignant|811|82501478|Male and Female|Pilocytic astrocytoma|2012|0.9|1.1|1.0
0-19|~|~|~|Benign/Borderline|~|82271238|Male and Female|Pilocytic astrocytoma|2013|~|~|~
0-19|0.9|1.0|1.0|Malignant|800|82271238|Male and Female|Pilocytic astrocytoma|2013|0.9|1.0|1.0
0-19|~|~|~|Benign/Borderline|~|82139198|Male and Female|Pilocytic astrocytoma|2014|~|~|~
0-19|0.9|1.0|1.0|Malignant|792|82139198|Male and Female|Pilocytic astrocytoma|2014|0.9|1.0|1.0
0-19|~|~|~|Benign/Borderline|~|82120410|Male and Female|Pilocytic astrocytoma|2015|~|~|~
0-19|0.8|1.0|0.9|Malignant|742|82120410|Male and Female|Pilocytic astrocytoma|2015|0.8|1.0|0.9
0-19|0.1|0.1|0.1|Benign/Borderline|260|406294186|Male and Female|Pilocytic astrocytoma|2015-2019|0.1|0.1|0.1
0-19|0.9|0.9|0.9|Malignant|3569|406294186|Male and Female|Pilocytic astrocytoma|2015-2019|0.8|0.9|0.9
0-19|~|~|~|Benign/Borderline|~|82161437|Male and Female|Pilocytic astrocytoma|2016|~|~|~
0-19|0.8|0.9|0.9|Malignant|712|82161437|Male and Female|Pilocytic astrocytoma|2016|0.8|0.9|0.9
0-19|~|~|~|Benign/Borderline|~|82114364|Male and Female|Pilocytic astrocytoma|2017|~|~|~
0-19|1.0|1.1|1.0|Malignant|848|82114364|Male and Female|Pilocytic astrocytoma|2017|1.0|1.1|1.0
0-19|0.2|0.2|0.2|Benign/Borderline|144|81200720|Male and Female|Pilocytic astrocytoma|2018|0.1|0.2|0.2
0-19|0.8|0.9|0.8|Malignant|675|81200720|Male and Female|Pilocytic astrocytoma|2018|0.8|0.9|0.8
0-19|0.1|0.2|0.1|Benign/Borderline|116|80916924|Male and Female|Pilocytic astrocytoma|2019|0.1|0.2|0.1
0-19|0.7|0.8|0.8|Malignant|611|80916924|Male and Female|Pilocytic astrocytoma|2019|0.7|0.8|0.8
0-19|~|~|~|Benign/Borderline|~|81754354|Male and Female|Pineal parenchymal|2004|~|~|~
0-19|0.0|0.1|0.0|Malignant|32|81754354|Male and Female|Pineal parenchymal|2004|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|82005260|Male and Female|Pineal parenchymal|2005|~|~|~
0-19|0.0|0.0|0.0|Malignant|22|82005260|Male and Female|Pineal parenchymal|2005|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|82324418|Male and Female|Pineal parenchymal|2006|~|~|~
0-19|0.0|0.0|0.0|Malignant|24|82324418|Male and Female|Pineal parenchymal|2006|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|82749431|Male and Female|Pineal parenchymal|2007|~|~|~
0-19|0.0|0.0|0.0|Malignant|28|82749431|Male and Female|Pineal parenchymal|2007|0.0|0.0|0.0
