AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0.2|0.6|0.4|22|VIII(d) Other specified malignant bone tumors|60033795|0-14|All Races|Male and Female|2019|||
0.2|0.5|0.3|20|VIII(e) Unspecified malignant bone tumors|60033795|0-14|All Races|Male and Female|2019|||
4.8|6.0|5.4|322|X Germ cell, trophoblastic tumors & neoplasms of gonads|60033795|0-14|All Races|Male and Female|2019|||
1.2|1.9|1.5|91|X(a) Intracranial & intraspinal germ cell tumors|60033795|0-14|All Races|Male and Female|2019|||
1.0|1.6|1.3|76|X(b) Malignant extracranial & extragonadal germ cell tumors|60033795|0-14|All Races|Male and Female|2019|||
1.8|2.6|2.2|132|X(c) Malignant gonadal germ cell tumors|60033795|0-14|All Races|Male and Female|2019|||
~|~|~|~|X(d) Gonadal carcinomas|60033795|0-14|All Races|Male and Female|2019|||
0.2|0.5|0.3|19|X(e) Other and unspecified malignant gonadal tumors|60033795|0-14|All Races|Male and Female|2019|||
9.8|11.5|10.6|640|XI Other malignant epithelial neoplasms and malignant melanomas|60033795|0-14|All Races|Male and Female|2019|||
~|~|~|~|XI(a) Adrenocortical carcinomas|60033795|0-14|All Races|Male and Female|2019|||
3.4|4.4|3.9|233|XI(b) Thyroid carcinomas|60033795|0-14|All Races|Male and Female|2019|||
~|~|~|~|XI(c) Nasopharyngeal carcinomas|60033795|0-14|All Races|Male and Female|2019|||
1.5|2.2|1.8|110|XI(d) Malignant melanomas|60033795|0-14|All Races|Male and Female|2019|||
~|~|~|~|XI(e) Skin carcinomas|60033795|0-14|All Races|Male and Female|2019|||
4.1|5.2|4.6|277|XI(f) Other and unspecified carcinomas|60033795|0-14|All Races|Male and Female|2019|||
0.6|1.0|0.8|45|XII Other and unspecified malignant neoplasms|60033795|0-14|All Races|Male and Female|2019|||
0.3|0.7|0.5|27|XII(a) Other specified malignant tumors|60033795|0-14|All Races|Male and Female|2019|||
0.2|0.5|0.3|18|XII(b) Other unspecified malignant tumors|60033795|0-14|All Races|Male and Female|2019|||
155.8|161.3|158.5|12490|All ICCC Groups Combined|78936986|0-19|All Races|Male and Female|1999|155.5|161.0|158.2
39.1|41.9|40.5|3196|I Leukemias, myeloproliferative & myelodysplastic diseases|78936986|0-19|All Races|Male and Female|1999|39.1|41.9|40.5
28.8|31.2|30.0|2369|I(a) Lymphoid leukemias|78936986|0-19|All Races|Male and Female|1999|28.8|31.2|30.0
7.4|8.6|8.0|628|I(b) Acute myeloid leukemias|78936986|0-19|All Races|Male and Female|1999|7.3|8.6|8.0
0.8|1.3|1.0|82|I(c) Chronic myeloproliferative diseases|78936986|0-19|All Races|Male and Female|1999|0.8|1.3|1.0
~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|78936986|0-19|All Races|Male and Female|1999|~|~|~
1.1|1.6|1.3|105|I(e) Unspecified and other specified leukemias|78936986|0-19|All Races|Male and Female|1999|1.1|1.6|1.3
22.2|24.4|23.3|1833|II Lymphomas and reticuloendothelial neoplasms|78936986|0-19|All Races|Male and Female|1999|22.2|24.3|23.2
11.1|12.7|11.9|934|II(a) Hodgkin lymphomas|78936986|0-19|All Races|Male and Female|1999|11.1|12.6|11.8
7.1|8.3|7.6|603|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|78936986|0-19|All Races|Male and Female|1999|7.0|8.3|7.6
2.1|2.8|2.4|189|II(c) Burkitt lymphoma|78936986|0-19|All Races|Male and Female|1999|2.1|2.8|2.4
0.5|0.9|0.7|56|II(d) Miscellaneous lymphoreticular neoplasms|78936986|0-19|All Races|Male and Female|1999|0.5|0.9|0.7
0.5|0.9|0.6|51|II(e) Unspecified lymphomas|78936986|0-19|All Races|Male and Female|1999|0.5|0.8|0.6
27.6|30.0|28.8|2272|III CNS and misc intracranial and intraspinal neoplasms|78936986|0-19|All Races|Male and Female|1999|27.6|30.0|28.8
2.3|3.0|2.6|207|III(a) Ependymomas and choroid plexus tumor|78936986|0-19|All Races|Male and Female|1999|2.3|3.0|2.6
12.9|14.5|13.7|1081|III(b) Astrocytomas|78936986|0-19|All Races|Male and Female|1999|12.9|14.5|13.7
6.1|7.2|6.6|524|III(c) Intracranial and intraspinal embryonal tumors|78936986|0-19|All Races|Male and Female|1999|6.1|7.2|6.6
4.2|5.2|4.7|373|III(d) Other gliomas|78936986|0-19|All Races|Male and Female|1999|4.3|5.2|4.7
0.4|0.7|0.5|40|III(e) Other specified intracranial & intraspinal neoplasms|78936986|0-19|All Races|Male and Female|1999|0.4|0.7|0.5
0.4|0.8|0.6|47|III(f) Unspecified intracranial and intraspinal neoplasms|78936986|0-19|All Races|Male and Female|1999|0.4|0.8|0.6
7.6|8.9|8.3|648|IV Neuroblastoma and other peripheral nervous cell tumors|78936986|0-19|All Races|Male and Female|1999|7.6|8.9|8.2
7.4|8.6|8.0|625|IV(a) Neuroblastoma and ganglioneuroblastoma|78936986|0-19|All Races|Male and Female|1999|7.3|8.6|7.9
0.2|0.4|0.3|23|IV(b) Other peripheral nervous cell tumors|78936986|0-19|All Races|Male and Female|1999|0.2|0.4|0.3
10.2|11.7|10.9|860|IX Soft tissue and other extraosseous sarcomas|78936986|0-19|All Races|Male and Female|1999|10.2|11.6|10.9
4.1|5.0|4.5|358|IX(a) Rhabdomyosarcomas|78936986|0-19|All Races|Male and Female|1999|4.1|5.0|4.5
0.9|1.4|1.1|88|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|78936986|0-19|All Races|Male and Female|1999|0.9|1.4|1.1
~|~|~|~|IX(c) Kaposi sarcoma|78936986|0-19|All Races|Male and Female|1999|~|~|~
3.5|4.4|4.0|312|IX(d) Other specified soft tissue sarcomas|78936986|0-19|All Races|Male and Female|1999|3.5|4.4|4.0
1.0|1.5|1.3|99|IX(e) Unspecified soft tissue sarcomas|78936986|0-19|All Races|Male and Female|1999|1.0|1.5|1.3
0.2|0.4|0.3|22|Not classified by ICCC|78936986|0-19|All Races|Male and Female|1999|0.2|0.4|0.3
2.8|3.6|3.2|248|V Retinoblastoma|78936986|0-19|All Races|Male and Female|1999|2.8|3.6|3.1
5.8|6.9|6.4|501|VI Renal tumors|78936986|0-19|All Races|Male and Female|1999|5.8|6.9|6.3
5.3|6.4|5.8|457|VI(a) Nephroblastoma and other nonepithelial renal tumors|78936986|0-19|All Races|Male and Female|1999|5.3|6.3|5.8
0.4|0.7|0.5|40|VI(b) Renal carcinomas|78936986|0-19|All Races|Male and Female|1999|0.4|0.7|0.5
~|~|~|~|VI(c) Unspecified malignant renal tumors|78936986|0-19|All Races|Male and Female|1999|~|~|~
1.7|2.3|2.0|154|VII Hepatic tumors|78936986|0-19|All Races|Male and Female|1999|1.7|2.3|2.0
1.1|1.6|1.3|102|VII(a) Hepatoblastoma|78936986|0-19|All Races|Male and Female|1999|1.1|1.6|1.3
0.5|0.9|0.6|51|VII(b) Hepatic carcinomas|78936986|0-19|All Races|Male and Female|1999|0.5|0.8|0.6
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|78936986|0-19|All Races|Male and Female|1999|~|~|~
8.2|9.5|8.8|695|VIII Malignant bone tumors|78936986|0-19|All Races|Male and Female|1999|8.2|9.5|8.8
4.6|5.6|5.1|401|VIII(a) Osteosarcomas|78936986|0-19|All Races|Male and Female|1999|4.6|5.6|5.1
0.2|0.5|0.4|28|VIII(b) Chondrosarcomas|78936986|0-19|All Races|Male and Female|1999|0.2|0.5|0.4
2.4|3.1|2.7|214|VIII(c) Ewing tumor and related sarcomas of bone|78936986|0-19|All Races|Male and Female|1999|2.4|3.1|2.7
0.4|0.7|0.5|40|VIII(d) Other specified malignant bone tumors|78936986|0-19|All Races|Male and Female|1999|0.4|0.7|0.5
~|~|~|~|VIII(e) Unspecified malignant bone tumors|78936986|0-19|All Races|Male and Female|1999|~|~|~
9.4|10.8|10.1|791|X Germ cell, trophoblastic tumors & neoplasms of gonads|78936986|0-19|All Races|Male and Female|1999|9.3|10.7|10.0
1.1|1.7|1.4|110|X(a) Intracranial & intraspinal germ cell tumors|78936986|0-19|All Races|Male and Female|1999|1.1|1.7|1.4
1.1|1.7|1.4|107|X(b) Malignant extracranial & extragonadal germ cell tumors|78936986|0-19|All Races|Male and Female|1999|1.1|1.6|1.4
6.1|7.2|6.7|523|X(c) Malignant gonadal germ cell tumors|78936986|0-19|All Races|Male and Female|1999|6.1|7.2|6.6
0.3|0.6|0.4|32|X(d) Gonadal carcinomas|78936986|0-19|All Races|Male and Female|1999|0.3|0.6|0.4
0.1|0.4|0.2|19|X(e) Other and unspecified malignant gonadal tumors|78936986|0-19|All Races|Male and Female|1999|0.1|0.4|0.2
14.5|16.2|15.3|1205|XI Other malignant epithelial neoplasms and malignant melanomas|78936986|0-19|All Races|Male and Female|1999|14.4|16.2|15.3
0.1|0.4|0.2|19|XI(a) Adrenocortical carcinomas|78936986|0-19|All Races|Male and Female|1999|0.1|0.4|0.2
5.3|6.4|5.9|461|XI(b) Thyroid carcinomas|78936986|0-19|All Races|Male and Female|1999|5.3|6.4|5.8
0.4|0.7|0.5|42|XI(c) Nasopharyngeal carcinomas|78936986|0-19|All Races|Male and Female|1999|0.4|0.7|0.5
4.3|5.3|4.7|373|XI(d) Malignant melanomas|78936986|0-19|All Races|Male and Female|1999|4.3|5.2|4.7
~|~|~|~|XI(e) Skin carcinomas|78936986|0-19|All Races|Male and Female|1999|~|~|~
3.4|4.3|3.9|303|XI(f) Other and unspecified carcinomas|78936986|0-19|All Races|Male and Female|1999|3.4|4.3|3.8
0.6|1.1|0.8|65|XII Other and unspecified malignant neoplasms|78936986|0-19|All Races|Male and Female|1999|0.6|1.0|0.8
0.1|0.3|0.2|17|XII(a) Other specified malignant tumors|78936986|0-19|All Races|Male and Female|1999|0.1|0.3|0.2
0.4|0.8|0.6|48|XII(b) Other unspecified malignant tumors|78936986|0-19|All Races|Male and Female|1999|0.4|0.8|0.6
161.1|166.7|163.9|13004|All ICCC Groups Combined|79474943|0-19|All Races|Male and Female|2000|160.8|166.5|163.6
39.9|42.8|41.3|3273|I Leukemias, myeloproliferative & myelodysplastic diseases|79474943|0-19|All Races|Male and Female|2000|39.8|42.6|41.2
30.6|33.1|31.8|2516|I(a) Lymphoid leukemias|79474943|0-19|All Races|Male and Female|2000|30.4|32.9|31.7
6.6|7.8|7.1|567|I(b) Acute myeloid leukemias|79474943|0-19|All Races|Male and Female|2000|6.6|7.7|7.1
0.7|1.1|0.9|72|I(c) Chronic myeloproliferative diseases|79474943|0-19|All Races|Male and Female|2000|0.7|1.1|0.9
~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|79474943|0-19|All Races|Male and Female|2000|~|~|~
1.1|1.6|1.3|107|I(e) Unspecified and other specified leukemias|79474943|0-19|All Races|Male and Female|2000|1.1|1.6|1.3
23.8|26.0|24.9|1978|II Lymphomas and reticuloendothelial neoplasms|79474943|0-19|All Races|Male and Female|2000|23.8|26.0|24.9
11.6|13.1|12.3|981|II(a) Hodgkin lymphomas|79474943|0-19|All Races|Male and Female|2000|11.6|13.1|12.3
7.6|8.8|8.2|652|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|79474943|0-19|All Races|Male and Female|2000|7.6|8.9|8.2
2.3|3.1|2.7|213|II(c) Burkitt lymphoma|79474943|0-19|All Races|Male and Female|2000|2.3|3.1|2.7
0.8|1.2|1.0|79|II(d) Miscellaneous lymphoreticular neoplasms|79474943|0-19|All Races|Male and Female|2000|0.8|1.2|1.0
0.5|0.9|0.7|53|II(e) Unspecified lymphomas|79474943|0-19|All Races|Male and Female|2000|0.5|0.9|0.7
29.0|31.4|30.2|2399|III CNS and misc intracranial and intraspinal neoplasms|79474943|0-19|All Races|Male and Female|2000|29.0|31.4|30.2
2.0|2.7|2.3|184|III(a) Ependymomas and choroid plexus tumor|79474943|0-19|All Races|Male and Female|2000|2.0|2.7|2.3
14.9|16.7|15.8|1253|III(b) Astrocytomas|79474943|0-19|All Races|Male and Female|2000|14.9|16.7|15.8
5.9|7.0|6.4|509|III(c) Intracranial and intraspinal embryonal tumors|79474943|0-19|All Races|Male and Female|2000|5.9|7.0|6.4
4.1|5.0|4.6|362|III(d) Other gliomas|79474943|0-19|All Races|Male and Female|2000|4.1|5.0|4.6
0.3|0.7|0.5|38|III(e) Other specified intracranial & intraspinal neoplasms|79474943|0-19|All Races|Male and Female|2000|0.3|0.7|0.5
0.5|0.9|0.7|53|III(f) Unspecified intracranial and intraspinal neoplasms|79474943|0-19|All Races|Male and Female|2000|0.5|0.9|0.7
7.1|8.3|7.7|607|IV Neuroblastoma and other peripheral nervous cell tumors|79474943|0-19|All Races|Male and Female|2000|7.0|8.3|7.6
7.0|8.2|7.5|595|IV(a) Neuroblastoma and ganglioneuroblastoma|79474943|0-19|All Races|Male and Female|2000|6.9|8.1|7.5
~|~|~|~|IV(b) Other peripheral nervous cell tumors|79474943|0-19|All Races|Male and Female|2000|~|~|~
11.2|12.7|11.9|948|IX Soft tissue and other extraosseous sarcomas|79474943|0-19|All Races|Male and Female|2000|11.2|12.7|11.9
4.4|5.4|4.9|385|IX(a) Rhabdomyosarcomas|79474943|0-19|All Races|Male and Female|2000|4.4|5.4|4.8
1.0|1.4|1.2|94|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|79474943|0-19|All Races|Male and Female|2000|1.0|1.4|1.2
~|~|~|~|IX(c) Kaposi sarcoma|79474943|0-19|All Races|Male and Female|2000|~|~|~
4.1|5.0|4.5|360|IX(d) Other specified soft tissue sarcomas|79474943|0-19|All Races|Male and Female|2000|4.1|5.0|4.5
1.1|1.6|1.3|105|IX(e) Unspecified soft tissue sarcomas|79474943|0-19|All Races|Male and Female|2000|1.1|1.6|1.3
0.1|0.3|0.2|17|Not classified by ICCC|79474943|0-19|All Races|Male and Female|2000|0.1|0.3|0.2
2.9|3.7|3.3|258|V Retinoblastoma|79474943|0-19|All Races|Male and Female|2000|2.9|3.7|3.2
6.3|7.5|6.9|544|VI Renal tumors|79474943|0-19|All Races|Male and Female|2000|6.3|7.4|6.8
5.8|7.0|6.4|504|VI(a) Nephroblastoma and other nonepithelial renal tumors|79474943|0-19|All Races|Male and Female|2000|5.8|6.9|6.3
0.3|0.7|0.5|38|VI(b) Renal carcinomas|79474943|0-19|All Races|Male and Female|2000|0.3|0.7|0.5
~|~|~|~|VI(c) Unspecified malignant renal tumors|79474943|0-19|All Races|Male and Female|2000|~|~|~
1.6|2.2|1.9|146|VII Hepatic tumors|79474943|0-19|All Races|Male and Female|2000|1.6|2.2|1.8
1.2|1.7|1.4|114|VII(a) Hepatoblastoma|79474943|0-19|All Races|Male and Female|2000|1.2|1.7|1.4
0.3|0.5|0.4|30|VII(b) Hepatic carcinomas|79474943|0-19|All Races|Male and Female|2000|0.3|0.5|0.4
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|79474943|0-19|All Races|Male and Female|2000|~|~|~
7.7|9.0|8.3|664|VIII Malignant bone tumors|79474943|0-19|All Races|Male and Female|2000|7.7|9.0|8.4
4.2|5.2|4.7|374|VIII(a) Osteosarcomas|79474943|0-19|All Races|Male and Female|2000|4.2|5.2|4.7
~|~|~|~|VIII(b) Chondrosarcomas|79474943|0-19|All Races|Male and Female|2000|~|~|~
2.7|3.4|3.0|241|VIII(c) Ewing tumor and related sarcomas of bone|79474943|0-19|All Races|Male and Female|2000|2.7|3.4|3.0
0.1|0.4|0.2|19|VIII(d) Other specified malignant bone tumors|79474943|0-19|All Races|Male and Female|2000|0.1|0.4|0.2
0.1|0.3|0.2|16|VIII(e) Unspecified malignant bone tumors|79474943|0-19|All Races|Male and Female|2000|0.1|0.3|0.2
10.1|11.6|10.8|860|X Germ cell, trophoblastic tumors & neoplasms of gonads|79474943|0-19|All Races|Male and Female|2000|10.1|11.6|10.8
1.4|2.0|1.7|134|X(a) Intracranial & intraspinal germ cell tumors|79474943|0-19|All Races|Male and Female|2000|1.4|2.0|1.7
1.1|1.7|1.4|109|X(b) Malignant extracranial & extragonadal germ cell tumors|79474943|0-19|All Races|Male and Female|2000|1.1|1.7|1.4
6.5|7.7|7.1|562|X(c) Malignant gonadal germ cell tumors|79474943|0-19|All Races|Male and Female|2000|6.5|7.7|7.1
0.3|0.6|0.5|37|X(d) Gonadal carcinomas|79474943|0-19|All Races|Male and Female|2000|0.3|0.6|0.5
0.1|0.4|0.2|18|X(e) Other and unspecified malignant gonadal tumors|79474943|0-19|All Races|Male and Female|2000|0.1|0.4|0.2
14.8|16.5|15.6|1245|XI Other malignant epithelial neoplasms and malignant melanomas|79474943|0-19|All Races|Male and Female|2000|14.8|16.6|15.7
0.2|0.5|0.3|25|XI(a) Adrenocortical carcinomas|79474943|0-19|All Races|Male and Female|2000|0.2|0.5|0.3
5.2|6.2|5.7|451|XI(b) Thyroid carcinomas|79474943|0-19|All Races|Male and Female|2000|5.2|6.2|5.7
0.4|0.7|0.5|42|XI(c) Nasopharyngeal carcinomas|79474943|0-19|All Races|Male and Female|2000|0.4|0.7|0.5
4.7|5.7|5.2|412|XI(d) Malignant melanomas|79474943|0-19|All Races|Male and Female|2000|4.7|5.7|5.2
~|~|~|~|XI(e) Skin carcinomas|79474943|0-19|All Races|Male and Female|2000|~|~|~
3.5|4.3|3.9|309|XI(f) Other and unspecified carcinomas|79474943|0-19|All Races|Male and Female|2000|3.5|4.3|3.9
0.6|1.0|0.8|65|XII Other and unspecified malignant neoplasms|79474943|0-19|All Races|Male and Female|2000|0.6|1.0|0.8
~|~|~|~|XII(a) Other specified malignant tumors|79474943|0-19|All Races|Male and Female|2000|~|~|~
0.5|0.8|0.6|50|XII(b) Other unspecified malignant tumors|79474943|0-19|All Races|Male and Female|2000|0.5|0.8|0.6
167.6|173.3|170.4|13639|All ICCC Groups Combined|80042731|0-19|All Races|Male and Female|2001|167.5|173.3|170.4
44.2|47.1|45.6|3634|I Leukemias, myeloproliferative & myelodysplastic diseases|80042731|0-19|All Races|Male and Female|2001|43.9|46.9|45.4
31.6|34.2|32.9|2610|I(a) Lymphoid leukemias|80042731|0-19|All Races|Male and Female|2001|31.4|33.9|32.6
7.1|8.4|7.7|620|I(b) Acute myeloid leukemias|80042731|0-19|All Races|Male and Female|2001|7.1|8.4|7.7
1.9|2.6|2.3|182|I(c) Chronic myeloproliferative diseases|80042731|0-19|All Races|Male and Female|2001|2.0|2.6|2.3
1.2|1.8|1.5|118|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|80042731|0-19|All Races|Male and Female|2001|1.2|1.8|1.5
1.1|1.6|1.3|104|I(e) Unspecified and other specified leukemias|80042731|0-19|All Races|Male and Female|2001|1.1|1.6|1.3
23.6|25.8|24.6|1981|II Lymphomas and reticuloendothelial neoplasms|80042731|0-19|All Races|Male and Female|2001|23.7|25.9|24.7
11.7|13.3|12.5|1007|II(a) Hodgkin lymphomas|80042731|0-19|All Races|Male and Female|2001|11.8|13.4|12.6
8.0|9.3|8.7|695|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|80042731|0-19|All Races|Male and Female|2001|8.0|9.4|8.7
1.9|2.5|2.2|174|II(c) Burkitt lymphoma|80042731|0-19|All Races|Male and Female|2001|1.9|2.5|2.2
0.6|1.0|0.8|66|II(d) Miscellaneous lymphoreticular neoplasms|80042731|0-19|All Races|Male and Female|2001|0.6|1.0|0.8
0.3|0.7|0.5|39|II(e) Unspecified lymphomas|80042731|0-19|All Races|Male and Female|2001|0.3|0.7|0.5
28.9|31.3|30.1|2400|III CNS and misc intracranial and intraspinal neoplasms|80042731|0-19|All Races|Male and Female|2001|28.8|31.2|30.0
2.1|2.8|2.5|197|III(a) Ependymomas and choroid plexus tumor|80042731|0-19|All Races|Male and Female|2001|2.1|2.8|2.5
14.2|15.9|15.1|1203|III(b) Astrocytomas|80042731|0-19|All Races|Male and Female|2001|14.2|15.9|15.0
6.0|7.1|6.5|518|III(c) Intracranial and intraspinal embryonal tumors|80042731|0-19|All Races|Male and Female|2001|5.9|7.1|6.5
4.6|5.6|5.1|404|III(d) Other gliomas|80042731|0-19|All Races|Male and Female|2001|4.6|5.6|5.0
0.5|0.8|0.6|49|III(e) Other specified intracranial & intraspinal neoplasms|80042731|0-19|All Races|Male and Female|2001|0.5|0.8|0.6
0.2|0.5|0.4|29|III(f) Unspecified intracranial and intraspinal neoplasms|80042731|0-19|All Races|Male and Female|2001|0.2|0.5|0.4
8.2|9.5|8.8|707|IV Neuroblastoma and other peripheral nervous cell tumors|80042731|0-19|All Races|Male and Female|2001|8.2|9.5|8.8
8.0|9.3|8.7|692|IV(a) Neuroblastoma and ganglioneuroblastoma|80042731|0-19|All Races|Male and Female|2001|8.0|9.3|8.6
~|~|~|~|IV(b) Other peripheral nervous cell tumors|80042731|0-19|All Races|Male and Female|2001|~|~|~
11.2|12.7|11.9|955|IX Soft tissue and other extraosseous sarcomas|80042731|0-19|All Races|Male and Female|2001|11.2|12.7|11.9
4.5|5.5|5.0|400|IX(a) Rhabdomyosarcomas|80042731|0-19|All Races|Male and Female|2001|4.5|5.5|5.0
1.2|1.7|1.4|116|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|80042731|0-19|All Races|Male and Female|2001|1.2|1.7|1.4
~|~|~|~|IX(c) Kaposi sarcoma|80042731|0-19|All Races|Male and Female|2001|~|~|~
3.7|4.6|4.1|333|IX(d) Other specified soft tissue sarcomas|80042731|0-19|All Races|Male and Female|2001|3.7|4.6|4.2
1.0|1.5|1.3|103|IX(e) Unspecified soft tissue sarcomas|80042731|0-19|All Races|Male and Female|2001|1.1|1.6|1.3
0.1|0.4|0.2|19|Not classified by ICCC|80042731|0-19|All Races|Male and Female|2001|0.1|0.4|0.2
2.9|3.7|3.3|265|V Retinoblastoma|80042731|0-19|All Races|Male and Female|2001|2.9|3.7|3.3
6.2|7.4|6.8|539|VI Renal tumors|80042731|0-19|All Races|Male and Female|2001|6.2|7.3|6.7
5.7|6.8|6.2|493|VI(a) Nephroblastoma and other nonepithelial renal tumors|80042731|0-19|All Races|Male and Female|2001|5.6|6.7|6.2
0.4|0.7|0.5|43|VI(b) Renal carcinomas|80042731|0-19|All Races|Male and Female|2001|0.4|0.7|0.5
~|~|~|~|VI(c) Unspecified malignant renal tumors|80042731|0-19|All Races|Male and Female|2001|~|~|~
1.5|2.1|1.8|145|VII Hepatic tumors|80042731|0-19|All Races|Male and Female|2001|1.5|2.1|1.8
1.0|1.5|1.3|101|VII(a) Hepatoblastoma|80042731|0-19|All Races|Male and Female|2001|1.0|1.5|1.3
0.4|0.7|0.5|43|VII(b) Hepatic carcinomas|80042731|0-19|All Races|Male and Female|2001|0.4|0.7|0.5
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|80042731|0-19|All Races|Male and Female|2001|~|~|~
8.8|10.2|9.5|766|VIII Malignant bone tumors|80042731|0-19|All Races|Male and Female|2001|8.9|10.3|9.6
4.7|5.7|5.2|418|VIII(a) Osteosarcomas|80042731|0-19|All Races|Male and Female|2001|4.7|5.7|5.2
0.2|0.5|0.4|29|VIII(b) Chondrosarcomas|80042731|0-19|All Races|Male and Female|2001|0.2|0.5|0.4
3.0|3.8|3.4|272|VIII(c) Ewing tumor and related sarcomas of bone|80042731|0-19|All Races|Male and Female|2001|3.0|3.8|3.4
0.3|0.6|0.4|36|VIII(d) Other specified malignant bone tumors|80042731|0-19|All Races|Male and Female|2001|0.3|0.6|0.4
~|~|~|~|VIII(e) Unspecified malignant bone tumors|80042731|0-19|All Races|Male and Female|2001|~|~|~
9.7|11.1|10.4|835|X Germ cell, trophoblastic tumors & neoplasms of gonads|80042731|0-19|All Races|Male and Female|2001|9.7|11.2|10.4
1.3|1.9|1.6|128|X(a) Intracranial & intraspinal germ cell tumors|80042731|0-19|All Races|Male and Female|2001|1.3|1.9|1.6
1.3|1.9|1.6|128|X(b) Malignant extracranial & extragonadal germ cell tumors|80042731|0-19|All Races|Male and Female|2001|1.3|1.9|1.6
6.0|7.1|6.6|528|X(c) Malignant gonadal germ cell tumors|80042731|0-19|All Races|Male and Female|2001|6.0|7.2|6.6
0.2|0.5|0.3|27|X(d) Gonadal carcinomas|80042731|0-19|All Races|Male and Female|2001|0.2|0.5|0.3
0.2|0.4|0.3|24|X(e) Other and unspecified malignant gonadal tumors|80042731|0-19|All Races|Male and Female|2001|0.2|0.4|0.3
15.5|17.3|16.4|1322|XI Other malignant epithelial neoplasms and malignant melanomas|80042731|0-19|All Races|Male and Female|2001|15.6|17.4|16.5
0.1|0.4|0.2|18|XI(a) Adrenocortical carcinomas|80042731|0-19|All Races|Male and Female|2001|0.1|0.4|0.2
5.3|6.3|5.8|466|XI(b) Thyroid carcinomas|80042731|0-19|All Races|Male and Female|2001|5.3|6.4|5.8
0.4|0.7|0.5|43|XI(c) Nasopharyngeal carcinomas|80042731|0-19|All Races|Male and Female|2001|0.4|0.7|0.5
5.3|6.3|5.8|466|XI(d) Malignant melanomas|80042731|0-19|All Races|Male and Female|2001|5.3|6.4|5.8
~|~|~|~|XI(e) Skin carcinomas|80042731|0-19|All Races|Male and Female|2001|~|~|~
3.6|4.5|4.0|324|XI(f) Other and unspecified carcinomas|80042731|0-19|All Races|Male and Female|2001|3.6|4.5|4.0
0.7|1.1|0.9|71|XII Other and unspecified malignant neoplasms|80042731|0-19|All Races|Male and Female|2001|0.7|1.1|0.9
0.3|0.5|0.4|30|XII(a) Other specified malignant tumors|80042731|0-19|All Races|Male and Female|2001|0.3|0.5|0.4
0.4|0.7|0.5|41|XII(b) Other unspecified malignant tumors|80042731|0-19|All Races|Male and Female|2001|0.4|0.7|0.5
168.0|173.7|170.9|13733|All ICCC Groups Combined|80317363|0-19|All Races|Male and Female|2002|168.1|173.9|171.0
43.3|46.3|44.8|3582|I Leukemias, myeloproliferative & myelodysplastic diseases|80317363|0-19|All Races|Male and Female|2002|43.1|46.1|44.6
30.6|33.1|31.9|2540|I(a) Lymphoid leukemias|80317363|0-19|All Races|Male and Female|2002|30.4|32.9|31.6
7.5|8.8|8.1|655|I(b) Acute myeloid leukemias|80317363|0-19|All Races|Male and Female|2002|7.5|8.8|8.2
1.8|2.4|2.1|169|I(c) Chronic myeloproliferative diseases|80317363|0-19|All Races|Male and Female|2002|1.8|2.4|2.1
1.2|1.8|1.5|120|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|80317363|0-19|All Races|Male and Female|2002|1.2|1.8|1.5
1.0|1.5|1.2|98|I(e) Unspecified and other specified leukemias|80317363|0-19|All Races|Male and Female|2002|1.0|1.5|1.2
23.5|25.7|24.6|1990|II Lymphomas and reticuloendothelial neoplasms|80317363|0-19|All Races|Male and Female|2002|23.7|25.9|24.8
11.6|13.2|12.4|1005|II(a) Hodgkin lymphomas|80317363|0-19|All Races|Male and Female|2002|11.8|13.3|12.5
7.6|8.9|8.2|664|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|80317363|0-19|All Races|Male and Female|2002|7.7|8.9|8.3
2.4|3.1|2.7|220|II(c) Burkitt lymphoma|80317363|0-19|All Races|Male and Female|2002|2.4|3.1|2.7
0.7|1.1|0.9|73|II(d) Miscellaneous lymphoreticular neoplasms|80317363|0-19|All Races|Male and Female|2002|0.7|1.1|0.9
0.2|0.5|0.3|28|II(e) Unspecified lymphomas|80317363|0-19|All Races|Male and Female|2002|0.2|0.5|0.3
30.2|32.7|31.4|2515|III CNS and misc intracranial and intraspinal neoplasms|80317363|0-19|All Races|Male and Female|2002|30.1|32.6|31.3
