AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
5-9|~|~|~|~|VII(a) Hepatoblastoma|20182499|2009
5-9|~|~|~|~|VII(b) Hepatic carcinomas|20182499|2009
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20182499|2009
5-9|4.5|6.6|5.5|110|VIII Malignant bone tumors|20182499|2009
5-9|2.4|4.0|3.2|64|VIII(a) Osteosarcomas|20182499|2009
5-9|~|~|~|~|VIII(b) Chondrosarcomas|20182499|2009
5-9|1.3|2.6|1.9|38|VIII(c) Ewing tumor and related sarcomas of bone|20182499|2009
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|20182499|2009
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20182499|2009
5-9|2.0|3.5|2.7|54|X Germ cell, trophoblastic tumors & neoplasms of gonads|20182499|2009
5-9|0.9|1.9|1.3|27|X(a) Intracranial & intraspinal germ cell tumors|20182499|2009
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20182499|2009
5-9|0.6|1.6|1.0|21|X(c) Malignant gonadal germ cell tumors|20182499|2009
5-9|~|~|~|~|X(d) Gonadal carcinomas|20182499|2009
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20182499|2009
5-9|3.0|4.8|3.8|77|XI Other malignant epithelial neoplasms and malignant melanomas|20182499|2009
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|20182499|2009
5-9|0.9|2.0|1.4|28|XI(b) Thyroid carcinomas|20182499|2009
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|20182499|2009
5-9|0.8|1.9|1.3|26|XI(d) Malignant melanomas|20182499|2009
5-9|~|~|~|~|XI(e) Skin carcinomas|20182499|2009
5-9|0.6|1.5|1.0|20|XI(f) Other and unspecified carcinomas|20182499|2009
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|20182499|2009
5-9|~|~|~|~|XII(a) Other specified malignant tumors|20182499|2009
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|20182499|2009
<1|249.8|282.0|265.5|1063|All ICCC Groups Combined|4003587|2009
<1|41.2|55.0|47.7|191|I Leukemias, myeloproliferative & myelodysplastic diseases|4003587|2009
<1|15.6|24.6|19.7|79|I(a) Lymphoid leukemias|4003587|2009
<1|11.4|19.3|15.0|60|I(b) Acute myeloid leukemias|4003587|2009
<1|2.7|7.1|4.5|18|I(c) Chronic myeloproliferative diseases|4003587|2009
<1|3.6|8.6|5.7|23|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|4003587|2009
<1|~|~|~|~|I(e) Unspecified and other specified leukemias|4003587|2009
<1|7.3|13.9|10.2|41|II Lymphomas and reticuloendothelial neoplasms|4003587|2009
<1|~|~|~|~|II(a) Hodgkin lymphomas|4003587|2009
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|4003587|2009
<1|~|~|~|~|II(c) Burkitt lymphoma|4003587|2009
<1|4.4|9.8|6.7|27|II(d) Miscellaneous lymphoreticular neoplasms|4003587|2009
<1|~|~|~|~|II(e) Unspecified lymphomas|4003587|2009
<1|34.9|47.7|41.0|164|III CNS and misc intracranial and intraspinal neoplasms|4003587|2009
<1|~|~|~|~|III(a) Ependymomas and choroid plexus tumor|4003587|2009
<1|13.4|21.8|17.2|69|III(b) Astrocytomas|4003587|2009
<1|11.0|18.7|14.5|58|III(c) Intracranial and intraspinal embryonal tumors|4003587|2009
<1|~|~|~|~|III(d) Other gliomas|4003587|2009
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|4003587|2009
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|4003587|2009
<1|50.7|65.9|57.9|232|IV Neuroblastoma and other peripheral nervous cell tumors|4003587|2009
<1|50.5|65.6|57.7|231|IV(a) Neuroblastoma and ganglioneuroblastoma|4003587|2009
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|4003587|2009
<1|16.7|26.0|21.0|84|IX Soft tissue and other extraosseous sarcomas|4003587|2009
<1|3.8|8.9|6.0|24|IX(a) Rhabdomyosarcomas|4003587|2009
<1|5.1|10.7|7.5|30|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|4003587|2009
<1|~|~|~|~|IX(c) Kaposi sarcoma|4003587|2009
<1|3.4|8.3|5.5|22|IX(d) Other specified soft tissue sarcomas|4003587|2009
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|4003587|2009
<1|~|~|~|~|Not classified by ICCC|4003587|2009
<1|26.4|37.7|31.7|127|V Retinoblastoma|4003587|2009
<1|15.2|24.0|19.2|77|VI Renal tumors|4003587|2009
<1|14.3|22.9|18.2|73|VI(a) Nephroblastoma and other nonepithelial renal tumors|4003587|2009
<1|~|~|~|~|VI(b) Renal carcinomas|4003587|2009
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|4003587|2009
<1|5.1|10.7|7.5|30|VII Hepatic tumors|4003587|2009
<1|4.6|10.1|7.0|28|VII(a) Hepatoblastoma|4003587|2009
<1|~|~|~|~|VII(b) Hepatic carcinomas|4003587|2009
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|4003587|2009
<1|~|~|~|~|VIII Malignant bone tumors|4003587|2009
<1|~|~|~|~|VIII(a) Osteosarcomas|4003587|2009
<1|~|~|~|~|VIII(b) Chondrosarcomas|4003587|2009
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|4003587|2009
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|4003587|2009
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|4003587|2009
<1|15.8|24.9|20.0|80|X Germ cell, trophoblastic tumors & neoplasms of gonads|4003587|2009
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|4003587|2009
<1|7.6|14.2|10.5|42|X(b) Malignant extracranial & extragonadal germ cell tumors|4003587|2009
<1|4.6|10.1|7.0|28|X(c) Malignant gonadal germ cell tumors|4003587|2009
<1|~|~|~|~|X(d) Gonadal carcinomas|4003587|2009
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|4003587|2009
<1|2.7|7.1|4.5|18|XI Other malignant epithelial neoplasms and malignant melanomas|4003587|2009
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|4003587|2009
<1|~|~|~|~|XI(b) Thyroid carcinomas|4003587|2009
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|4003587|2009
<1|~|~|~|~|XI(d) Malignant melanomas|4003587|2009
<1|~|~|~|~|XI(e) Skin carcinomas|4003587|2009
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|4003587|2009
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|4003587|2009
<1|~|~|~|~|XII(a) Other specified malignant tumors|4003587|2009
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|4003587|2009
1-4|227.5|242.5|234.9|3814|All ICCC Groups Combined|16238083|2010
1-4|89.1|98.6|93.7|1522|I Leukemias, myeloproliferative & myelodysplastic diseases|16238083|2010
1-4|72.6|81.2|76.8|1247|I(a) Lymphoid leukemias|16238083|2010
1-4|8.7|11.9|10.2|166|I(b) Acute myeloid leukemias|16238083|2010
1-4|1.1|2.4|1.7|27|I(c) Chronic myeloproliferative diseases|16238083|2010
1-4|1.6|3.1|2.3|37|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|16238083|2010
1-4|2.0|3.7|2.8|45|I(e) Unspecified and other specified leukemias|16238083|2010
1-4|13.8|17.8|15.7|255|II Lymphomas and reticuloendothelial neoplasms|16238083|2010
1-4|~|~|~|~|II(a) Hodgkin lymphomas|16238083|2010
1-4|3.9|6.1|4.9|80|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|16238083|2010
1-4|1.5|2.9|2.1|34|II(c) Burkitt lymphoma|16238083|2010
1-4|6.5|9.2|7.8|126|II(d) Miscellaneous lymphoreticular neoplasms|16238083|2010
1-4|~|~|~|~|II(e) Unspecified lymphomas|16238083|2010
1-4|45.0|51.8|48.3|784|III CNS and misc intracranial and intraspinal neoplasms|16238083|2010
1-4|6.0|8.7|7.3|118|III(a) Ependymomas and choroid plexus tumor|16238083|2010
1-4|21.5|26.3|23.8|387|III(b) Astrocytomas|16238083|2010
1-4|9.5|12.8|11.0|179|III(c) Intracranial and intraspinal embryonal tumors|16238083|2010
1-4|4.3|6.7|5.4|88|III(d) Other gliomas|16238083|2010
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|16238083|2010
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|16238083|2010
1-4|19.9|24.6|22.2|360|IV Neuroblastoma and other peripheral nervous cell tumors|16238083|2010
1-4|19.8|24.4|22.0|357|IV(a) Neuroblastoma and ganglioneuroblastoma|16238083|2010
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|16238083|2010
1-4|10.0|13.4|11.6|189|IX Soft tissue and other extraosseous sarcomas|16238083|2010
1-4|6.3|9.0|7.6|123|IX(a) Rhabdomyosarcomas|16238083|2010
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|16238083|2010
1-4|~|~|~|~|IX(c) Kaposi sarcoma|16238083|2010
1-4|2.1|3.8|2.9|47|IX(d) Other specified soft tissue sarcomas|16238083|2010
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|16238083|2010
1-4|~|~|~|~|Not classified by ICCC|16238083|2010
1-4|8.0|11.0|9.4|153|V Retinoblastoma|16238083|2010
1-4|18.2|22.7|20.4|331|VI Renal tumors|16238083|2010
1-4|18.2|22.6|20.3|330|VI(a) Nephroblastoma and other nonepithelial renal tumors|16238083|2010
1-4|~|~|~|~|VI(b) Renal carcinomas|16238083|2010
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|16238083|2010
1-4|4.8|7.3|6.0|97|VII Hepatic tumors|16238083|2010
1-4|4.5|6.9|5.6|91|VII(a) Hepatoblastoma|16238083|2010
1-4|~|~|~|~|VII(b) Hepatic carcinomas|16238083|2010
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|16238083|2010
1-4|0.8|2.1|1.4|22|VIII Malignant bone tumors|16238083|2010
1-4|~|~|~|~|VIII(a) Osteosarcomas|16238083|2010
1-4|~|~|~|~|VIII(b) Chondrosarcomas|16238083|2010
1-4|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|16238083|2010
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|16238083|2010
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|16238083|2010
1-4|2.7|4.5|3.5|57|X Germ cell, trophoblastic tumors & neoplasms of gonads|16238083|2010
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|16238083|2010
1-4|0.9|2.1|1.4|23|X(b) Malignant extracranial & extragonadal germ cell tumors|16238083|2010
1-4|1.2|2.6|1.8|29|X(c) Malignant gonadal germ cell tumors|16238083|2010
1-4|~|~|~|~|X(d) Gonadal carcinomas|16238083|2010
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|16238083|2010
1-4|0.8|1.9|1.2|20|XI Other malignant epithelial neoplasms and malignant melanomas|16238083|2010
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|16238083|2010
1-4|~|~|~|~|XI(b) Thyroid carcinomas|16238083|2010
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|16238083|2010
1-4|~|~|~|~|XI(d) Malignant melanomas|16238083|2010
1-4|~|~|~|~|XI(e) Skin carcinomas|16238083|2010
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|16238083|2010
1-4|0.7|1.8|1.2|19|XII Other and unspecified malignant neoplasms|16238083|2010
1-4|~|~|~|~|XII(a) Other specified malignant tumors|16238083|2010
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|16238083|2010
10-14|137.4|147.7|142.4|2946|All ICCC Groups Combined|20681024|2010
10-14|32.4|37.5|34.9|721|I Leukemias, myeloproliferative & myelodysplastic diseases|20681024|2010
10-14|20.4|24.5|22.4|463|I(a) Lymphoid leukemias|20681024|2010
10-14|6.2|8.6|7.3|152|I(b) Acute myeloid leukemias|20681024|2010
10-14|2.0|3.4|2.6|54|I(c) Chronic myeloproliferative diseases|20681024|2010
10-14|0.8|1.8|1.2|25|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20681024|2010
10-14|0.9|1.9|1.3|27|I(e) Unspecified and other specified leukemias|20681024|2010
10-14|23.1|27.5|25.2|521|II Lymphomas and reticuloendothelial neoplasms|20681024|2010
10-14|9.9|12.8|11.3|233|II(a) Hodgkin lymphomas|20681024|2010
10-14|7.7|10.3|8.9|185|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20681024|2010
10-14|1.8|3.2|2.4|50|II(c) Burkitt lymphoma|20681024|2010
10-14|1.7|3.0|2.3|47|II(d) Miscellaneous lymphoreticular neoplasms|20681024|2010
10-14|~|~|~|~|II(e) Unspecified lymphomas|20681024|2010
10-14|26.1|30.7|28.3|586|III CNS and misc intracranial and intraspinal neoplasms|20681024|2010
10-14|0.9|1.9|1.3|27|III(a) Ependymomas and choroid plexus tumor|20681024|2010
10-14|14.0|17.5|15.7|324|III(b) Astrocytomas|20681024|2010
10-14|3.8|5.7|4.6|96|III(c) Intracranial and intraspinal embryonal tumors|20681024|2010
10-14|4.6|6.7|5.6|115|III(d) Other gliomas|20681024|2010
10-14|0.4|1.3|0.8|16|III(e) Other specified intracranial & intraspinal neoplasms|20681024|2010
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20681024|2010
10-14|1.0|2.1|1.5|30|IV Neuroblastoma and other peripheral nervous cell tumors|20681024|2010
10-14|0.8|1.8|1.2|25|IV(a) Neuroblastoma and ganglioneuroblastoma|20681024|2010
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20681024|2010
10-14|11.7|14.9|13.2|273|IX Soft tissue and other extraosseous sarcomas|20681024|2010
10-14|3.7|5.6|4.5|94|IX(a) Rhabdomyosarcomas|20681024|2010
10-14|0.7|1.6|1.1|22|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20681024|2010
10-14|~|~|~|~|IX(c) Kaposi sarcoma|20681024|2010
10-14|5.0|7.1|6.0|124|IX(d) Other specified soft tissue sarcomas|20681024|2010
10-14|1.1|2.2|1.6|33|IX(e) Unspecified soft tissue sarcomas|20681024|2010
10-14|~|~|~|~|Not classified by ICCC|20681024|2010
10-14|~|~|~|~|V Retinoblastoma|20681024|2010
10-14|0.7|1.7|1.2|24|VI Renal tumors|20681024|2010
10-14|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|20681024|2010
10-14|~|~|~|~|VI(b) Renal carcinomas|20681024|2010
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|20681024|2010
10-14|0.6|1.4|0.9|19|VII Hepatic tumors|20681024|2010
10-14|~|~|~|~|VII(a) Hepatoblastoma|20681024|2010
10-14|0.5|1.3|0.8|17|VII(b) Hepatic carcinomas|20681024|2010
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20681024|2010
10-14|11.9|15.1|13.4|277|VIII Malignant bone tumors|20681024|2010
10-14|6.8|9.3|8.0|165|VIII(a) Osteosarcomas|20681024|2010
10-14|~|~|~|~|VIII(b) Chondrosarcomas|20681024|2010
10-14|3.2|5.0|4.0|83|VIII(c) Ewing tumor and related sarcomas of bone|20681024|2010
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|20681024|2010
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20681024|2010
10-14|6.9|9.4|8.1|168|X Germ cell, trophoblastic tumors & neoplasms of gonads|20681024|2010
10-14|2.3|3.9|3.0|63|X(a) Intracranial & intraspinal germ cell tumors|20681024|2010
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20681024|2010
10-14|3.1|4.9|3.9|81|X(c) Malignant gonadal germ cell tumors|20681024|2010
10-14|~|~|~|~|X(d) Gonadal carcinomas|20681024|2010
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20681024|2010
10-14|13.4|16.8|15.0|311|XI Other malignant epithelial neoplasms and malignant melanomas|20681024|2010
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|20681024|2010
10-14|6.1|8.5|7.3|150|XI(b) Thyroid carcinomas|20681024|2010
10-14|~|~|~|~|XI(c) Nasopharyngeal carcinomas|20681024|2010
10-14|2.0|3.4|2.6|54|XI(d) Malignant melanomas|20681024|2010
10-14|~|~|~|~|XI(e) Skin carcinomas|20681024|2010
10-14|3.2|5.0|4.0|83|XI(f) Other and unspecified carcinomas|20681024|2010
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|20681024|2010
10-14|~|~|~|~|XII(a) Other specified malignant tumors|20681024|2010
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|20681024|2010
15-19|211.6|223.9|217.7|4785|All ICCC Groups Combined|21981869|2010
15-19|31.5|36.4|33.8|744|I Leukemias, myeloproliferative & myelodysplastic diseases|21981869|2010
15-19|14.2|17.6|15.8|348|I(a) Lymphoid leukemias|21981869|2010
15-19|8.9|11.6|10.2|224|I(b) Acute myeloid leukemias|21981869|2010
15-19|4.1|6.0|5.0|109|I(c) Chronic myeloproliferative diseases|21981869|2010
15-19|1.0|2.1|1.5|33|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|21981869|2010
15-19|0.9|1.9|1.4|30|I(e) Unspecified and other specified leukemias|21981869|2010
15-19|47.1|53.1|50.0|1100|II Lymphomas and reticuloendothelial neoplasms|21981869|2010
15-19|30.1|34.9|32.4|713|II(a) Hodgkin lymphomas|21981869|2010
15-19|11.7|14.8|13.2|290|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|21981869|2010
15-19|1.7|3.0|2.3|50|II(c) Burkitt lymphoma|21981869|2010
15-19|0.8|1.8|1.3|28|II(d) Miscellaneous lymphoreticular neoplasms|21981869|2010
15-19|0.5|1.3|0.9|19|II(e) Unspecified lymphomas|21981869|2010
15-19|19.0|22.8|20.8|458|III CNS and misc intracranial and intraspinal neoplasms|21981869|2010
15-19|1.1|2.2|1.5|34|III(a) Ependymomas and choroid plexus tumor|21981869|2010
15-19|10.8|13.7|12.2|268|III(b) Astrocytomas|21981869|2010
15-19|1.6|2.9|2.2|48|III(c) Intracranial and intraspinal embryonal tumors|21981869|2010
15-19|3.4|5.1|4.2|92|III(d) Other gliomas|21981869|2010
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|21981869|2010
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|21981869|2010
15-19|0.5|1.3|0.8|18|IV Neuroblastoma and other peripheral nervous cell tumors|21981869|2010
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|21981869|2010
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|21981869|2010
15-19|14.9|18.3|16.5|363|IX Soft tissue and other extraosseous sarcomas|21981869|2010
15-19|3.5|5.3|4.3|95|IX(a) Rhabdomyosarcomas|21981869|2010
15-19|1.3|2.4|1.8|39|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|21981869|2010
15-19|~|~|~|~|IX(c) Kaposi sarcoma|21981869|2010
15-19|6.2|8.5|7.3|160|IX(d) Other specified soft tissue sarcomas|21981869|2010
15-19|2.3|3.8|3.0|65|IX(e) Unspecified soft tissue sarcomas|21981869|2010
15-19|~|~|~|~|Not classified by ICCC|21981869|2010
15-19|~|~|~|~|V Retinoblastoma|21981869|2010
15-19|0.9|1.9|1.4|30|VI Renal tumors|21981869|2010
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|21981869|2010
15-19|0.7|1.6|1.0|23|VI(b) Renal carcinomas|21981869|2010
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|21981869|2010
15-19|1.1|2.2|1.6|35|VII Hepatic tumors|21981869|2010
15-19|~|~|~|~|VII(a) Hepatoblastoma|21981869|2010
15-19|1.0|2.0|1.4|31|VII(b) Hepatic carcinomas|21981869|2010
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|21981869|2010
15-19|11.7|14.8|13.1|289|VIII Malignant bone tumors|21981869|2010
15-19|6.7|9.1|7.8|172|VIII(a) Osteosarcomas|21981869|2010
15-19|0.6|1.5|1.0|21|VIII(b) Chondrosarcomas|21981869|2010
15-19|2.6|4.2|3.4|74|VIII(c) Ewing tumor and related sarcomas of bone|21981869|2010
15-19|0.4|1.2|0.7|16|VIII(d) Other specified malignant bone tumors|21981869|2010
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|21981869|2010
15-19|25.5|29.9|27.6|607|X Germ cell, trophoblastic tumors & neoplasms of gonads|21981869|2010
15-19|1.9|3.3|2.5|56|X(a) Intracranial & intraspinal germ cell tumors|21981869|2010
15-19|0.8|1.8|1.3|28|X(b) Malignant extracranial & extragonadal germ cell tumors|21981869|2010
15-19|19.4|23.4|21.3|469|X(c) Malignant gonadal germ cell tumors|21981869|2010
15-19|1.1|2.2|1.6|35|X(d) Gonadal carcinomas|21981869|2010
15-19|0.5|1.3|0.9|19|X(e) Other and unspecified malignant gonadal tumors|21981869|2010
15-19|47.9|53.9|50.8|1117|XI Other malignant epithelial neoplasms and malignant melanomas|21981869|2010
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|21981869|2010
15-19|23.7|28.0|25.8|567|XI(b) Thyroid carcinomas|21981869|2010
15-19|1.0|2.1|1.5|32|XI(c) Nasopharyngeal carcinomas|21981869|2010
15-19|9.3|12.1|10.6|234|XI(d) Malignant melanomas|21981869|2010
15-19|~|~|~|~|XI(e) Skin carcinomas|21981869|2010
15-19|11.0|14.0|12.4|273|XI(f) Other and unspecified carcinomas|21981869|2010
15-19|0.5|1.3|0.9|19|XII Other and unspecified malignant neoplasms|21981869|2010
15-19|~|~|~|~|XII(a) Other specified malignant tumors|21981869|2010
15-19|~|~|~|~|XII(b) Other unspecified malignant tumors|21981869|2010
5-9|128.1|138.2|133.1|2706|All ICCC Groups Combined|20331821|2010
5-9|41.7|47.6|44.6|906|I Leukemias, myeloproliferative & myelodysplastic diseases|20331821|2010
5-9|34.6|40.0|37.2|757|I(a) Lymphoid leukemias|20331821|2010
5-9|3.2|5.0|4.0|81|I(b) Acute myeloid leukemias|20331821|2010
5-9|0.8|1.9|1.3|26|I(c) Chronic myeloproliferative diseases|20331821|2010
5-9|0.7|1.7|1.1|23|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20331821|2010
5-9|0.6|1.5|0.9|19|I(e) Unspecified and other specified leukemias|20331821|2010
5-9|16.8|20.6|18.6|379|II Lymphomas and reticuloendothelial neoplasms|20331821|2010
5-9|3.0|4.7|3.8|77|II(a) Hodgkin lymphomas|20331821|2010
5-9|6.9|9.4|8.1|164|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20331821|2010
5-9|2.4|4.0|3.1|64|II(c) Burkitt lymphoma|20331821|2010
5-9|2.8|4.5|3.5|72|II(d) Miscellaneous lymphoreticular neoplasms|20331821|2010
5-9|~|~|~|~|II(e) Unspecified lymphomas|20331821|2010
5-9|34.4|39.8|37.0|753|III CNS and misc intracranial and intraspinal neoplasms|20331821|2010
5-9|1.5|2.8|2.1|43|III(a) Ependymomas and choroid plexus tumor|20331821|2010
5-9|17.3|21.2|19.2|390|III(b) Astrocytomas|20331821|2010
5-9|5.6|7.9|6.7|136|III(c) Intracranial and intraspinal embryonal tumors|20331821|2010
5-9|6.8|9.3|8.0|163|III(d) Other gliomas|20331821|2010
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20331821|2010
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20331821|2010
5-9|2.6|4.2|3.3|67|IV Neuroblastoma and other peripheral nervous cell tumors|20331821|2010
5-9|2.5|4.1|3.2|65|IV(a) Neuroblastoma and ganglioneuroblastoma|20331821|2010
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20331821|2010
5-9|8.2|10.9|9.4|192|IX Soft tissue and other extraosseous sarcomas|20331821|2010
5-9|4.4|6.5|5.4|110|IX(a) Rhabdomyosarcomas|20331821|2010
5-9|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20331821|2010
5-9|~|~|~|~|IX(c) Kaposi sarcoma|20331821|2010
5-9|1.9|3.3|2.5|51|IX(d) Other specified soft tissue sarcomas|20331821|2010
5-9|0.6|1.6|1.0|21|IX(e) Unspecified soft tissue sarcomas|20331821|2010
5-9|~|~|~|~|Not classified by ICCC|20331821|2010
5-9|0.4|1.3|0.8|16|V Retinoblastoma|20331821|2010
5-9|4.6|6.7|5.6|114|VI Renal tumors|20331821|2010
5-9|4.4|6.4|5.3|108|VI(a) Nephroblastoma and other nonepithelial renal tumors|20331821|2010
5-9|~|~|~|~|VI(b) Renal carcinomas|20331821|2010
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|20331821|2010
5-9|0.4|1.3|0.8|16|VII Hepatic tumors|20331821|2010
5-9|~|~|~|~|VII(a) Hepatoblastoma|20331821|2010
5-9|~|~|~|~|VII(b) Hepatic carcinomas|20331821|2010
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20331821|2010
5-9|4.4|6.4|5.3|108|VIII Malignant bone tumors|20331821|2010
5-9|2.1|3.6|2.8|56|VIII(a) Osteosarcomas|20331821|2010
5-9|~|~|~|~|VIII(b) Chondrosarcomas|20331821|2010
5-9|1.5|2.8|2.1|43|VIII(c) Ewing tumor and related sarcomas of bone|20331821|2010
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|20331821|2010
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20331821|2010
5-9|2.6|4.3|3.4|69|X Germ cell, trophoblastic tumors & neoplasms of gonads|20331821|2010
5-9|1.4|2.7|2.0|41|X(a) Intracranial & intraspinal germ cell tumors|20331821|2010
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20331821|2010
5-9|0.6|1.5|1.0|20|X(c) Malignant gonadal germ cell tumors|20331821|2010
5-9|~|~|~|~|X(d) Gonadal carcinomas|20331821|2010
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20331821|2010
5-9|3.1|4.8|3.9|79|XI Other malignant epithelial neoplasms and malignant melanomas|20331821|2010
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|20331821|2010
5-9|0.8|1.8|1.2|24|XI(b) Thyroid carcinomas|20331821|2010
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|20331821|2010
5-9|1.0|2.1|1.5|30|XI(d) Malignant melanomas|20331821|2010
5-9|~|~|~|~|XI(e) Skin carcinomas|20331821|2010
5-9|0.6|1.5|0.9|19|XI(f) Other and unspecified carcinomas|20331821|2010
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|20331821|2010
5-9|~|~|~|~|XII(a) Other specified malignant tumors|20331821|2010
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|20331821|2010
<1|248.9|281.3|264.7|1046|All ICCC Groups Combined|3951495|2010
<1|43.4|57.6|50.1|198|I Leukemias, myeloproliferative & myelodysplastic diseases|3951495|2010
<1|12.0|20.1|15.7|62|I(a) Lymphoid leukemias|3951495|2010
<1|15.8|24.9|20.0|79|I(b) Acute myeloid leukemias|3951495|2010
<1|~|~|~|~|I(c) Chronic myeloproliferative diseases|3951495|2010
