AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-19|18.8|19.4|19.1|15759|Incidence|82139198|All Cancer Sites Combined|2014
0-19|0.2|0.3|0.2|181|Mortality|82139198|Bones and Joints|2014
0-19|0.9|1.0|1.0|794|Incidence|82139198|Bones and Joints|2014
0-19|0.6|0.7|0.7|559|Mortality|82139198|Brain and Other Nervous System|2014
0-19|3.3|3.6|3.4|2824|Incidence|82139198|Brain and Other Nervous System|2014
0-19|~|~|~|~|Mortality|82139198|Hodgkin Lymphoma|2014
0-19|1.1|1.3|1.2|989|Incidence|82139198|Hodgkin Lymphoma|2014
0-19|0.0|0.1|0.0|34|Mortality|82139198|Kidney and Renal Pelvis|2014
0-19|0.7|0.8|0.8|625|Incidence|82139198|Kidney and Renal Pelvis|2014
0-19|0.5|0.6|0.6|456|Mortality|82139198|Leukemia|2014
0-19|4.4|4.7|4.5|3730|Incidence|82139198|Leukemia|2014
0-19|0.1|0.1|0.1|69|Mortality|82139198|Non-Hodgkin Lymphoma|2014
0-19|1.3|1.5|1.4|1141|Incidence|82139198|Non-Hodgkin Lymphoma|2014
0-19|0.4|0.5|0.5|389|Mortality|82139198|Other|2014
0-19|5.6|5.9|5.8|4760|Incidence|82139198|Other|2014
0-19|0.1|0.2|0.2|143|Mortality|82139198|Soft Tissue|2014
0-19|1.0|1.2|1.1|896|Incidence|82139198|Soft Tissue|2014
0-14|0.2|0.3|0.2|146|Mortality|61030138|Acute Lymphocytic|2015
0-14|3.9|4.3|4.1|2515|Incidence|61030138|Acute Lymphocytic|2015
0-14|0.2|0.2|0.2|119|Mortality|61030138|Acute Myeloid|2015
0-14|0.7|0.8|0.7|447|Incidence|61030138|Acute Myeloid|2015
0-14|2.0|2.2|2.1|1272|Mortality|61030138|All Cancer Sites Combined|2015
0-14|17.6|18.2|17.9|10953|Incidence|61030138|All Cancer Sites Combined|2015
0-14|0.1|0.2|0.1|84|Mortality|61030138|Bones and Joints|2015
0-14|0.7|0.9|0.8|479|Incidence|61030138|Bones and Joints|2015
0-14|0.6|0.8|0.7|430|Mortality|61030138|Brain and Other Nervous System|2015
0-14|3.5|3.8|3.7|2232|Incidence|61030138|Brain and Other Nervous System|2015
0-14|~|~|~|~|Mortality|61030138|Hodgkin Lymphoma|2015
0-14|0.5|0.7|0.6|361|Incidence|61030138|Hodgkin Lymphoma|2015
0-14|0.0|0.1|0.1|36|Mortality|61030138|Kidney and Renal Pelvis|2015
0-14|0.9|1.1|1.0|610|Incidence|61030138|Kidney and Renal Pelvis|2015
0-14|0.5|0.6|0.6|343|Mortality|61030138|Leukemia|2015
0-14|5.0|5.4|5.2|3181|Incidence|61030138|Leukemia|2015
0-14|0.0|0.1|0.1|35|Mortality|61030138|Non-Hodgkin Lymphoma|2015
0-14|1.0|1.1|1.0|627|Incidence|61030138|Non-Hodgkin Lymphoma|2015
0-14|0.3|0.4|0.4|235|Mortality|61030138|Other|2015
0-14|4.4|4.7|4.6|2797|Incidence|61030138|Other|2015
0-14|0.1|0.2|0.2|105|Mortality|61030138|Soft Tissue|2015
0-14|1.0|1.2|1.1|666|Incidence|61030138|Soft Tissue|2015
0-19|0.2|0.3|0.3|206|Mortality|82120410|Acute Lymphocytic|2015
0-19|3.4|3.7|3.5|2906|Incidence|82120410|Acute Lymphocytic|2015
0-19|0.2|0.2|0.2|175|Mortality|82120410|Acute Myeloid|2015
0-19|0.7|0.8|0.8|637|Incidence|82120410|Acute Myeloid|2015
0-19|2.2|2.4|2.3|1855|Mortality|82120410|All Cancer Sites Combined|2015
0-19|19.4|20.0|19.7|16203|Incidence|82120410|All Cancer Sites Combined|2015
0-19|0.2|0.3|0.2|197|Mortality|82120410|Bones and Joints|2015
0-19|0.9|1.0|1.0|784|Incidence|82120410|Bones and Joints|2015
0-19|0.6|0.7|0.6|531|Mortality|82120410|Brain and Other Nervous System|2015
0-19|3.2|3.5|3.3|2742|Incidence|82120410|Brain and Other Nervous System|2015
0-19|~|~|~|~|Mortality|82120410|Hodgkin Lymphoma|2015
0-19|1.2|1.3|1.2|1031|Incidence|82120410|Hodgkin Lymphoma|2015
0-19|0.0|0.1|0.1|44|Mortality|82120410|Kidney and Renal Pelvis|2015
0-19|0.7|0.9|0.8|663|Incidence|82120410|Kidney and Renal Pelvis|2015
0-19|0.5|0.7|0.6|490|Mortality|82120410|Leukemia|2015
0-19|4.6|4.9|4.7|3882|Incidence|82120410|Leukemia|2015
0-19|0.1|0.1|0.1|73|Mortality|82120410|Non-Hodgkin Lymphoma|2015
0-19|1.2|1.4|1.3|1053|Incidence|82120410|Non-Hodgkin Lymphoma|2015
0-19|0.4|0.5|0.4|350|Mortality|82120410|Other|2015
0-19|6.0|6.3|6.2|5111|Incidence|82120410|Other|2015
0-19|0.2|0.2|0.2|158|Mortality|82120410|Soft Tissue|2015
0-19|1.1|1.2|1.1|937|Incidence|82120410|Soft Tissue|2015
0-14|0.2|0.2|0.2|668|Mortality|304552682|Acute Lymphocytic|2015-2019
0-14|3.9|4.1|4.0|12119|Incidence|301711217|Acute Lymphocytic|2015-2019
0-14|0.2|0.2|0.2|618|Mortality|304552682|Acute Myeloid|2015-2019
0-14|0.7|0.8|0.7|2179|Incidence|301711217|Acute Myeloid|2015-2019
0-14|2.0|2.1|2.0|6168|Mortality|304552682|All Cancer Sites Combined|2015-2019
0-14|17.1|17.4|17.3|52273|Incidence|301711217|All Cancer Sites Combined|2015-2019
0-14|0.1|0.1|0.1|403|Mortality|304552682|Bones and Joints|2015-2019
0-14|0.8|0.8|0.8|2423|Incidence|301711217|Bones and Joints|2015-2019
0-14|0.7|0.7|0.7|2086|Mortality|304552682|Brain and Other Nervous System|2015-2019
0-14|3.5|3.6|3.5|10714|Incidence|301711217|Brain and Other Nervous System|2015-2019
0-14|~|~|~|~|Mortality|304552682|Hodgkin Lymphoma|2015-2019
0-14|0.6|0.6|0.6|1756|Incidence|301711217|Hodgkin Lymphoma|2015-2019
0-14|0.1|0.1|0.1|188|Mortality|304552682|Kidney and Renal Pelvis|2015-2019
0-14|0.8|0.9|0.9|2672|Incidence|301711217|Kidney and Renal Pelvis|2015-2019
0-14|0.5|0.6|0.5|1598|Mortality|304552682|Leukemia|2015-2019
0-14|5.0|5.1|5.1|15317|Incidence|301711217|Leukemia|2015-2019
0-14|0.0|0.1|0.0|152|Mortality|304552682|Non-Hodgkin Lymphoma|2015-2019
0-14|1.0|1.1|1.0|3101|Incidence|301711217|Non-Hodgkin Lymphoma|2015-2019
0-14|0.4|0.4|0.4|1229|Mortality|304552682|Other|2015-2019
0-14|4.3|4.4|4.3|13142|Incidence|301711217|Other|2015-2019
0-14|0.2|0.2|0.2|502|Mortality|304552682|Soft Tissue|2015-2019
0-14|1.0|1.1|1.0|3148|Incidence|301711217|Soft Tissue|2015-2019
0-19|0.2|0.3|0.2|990|Mortality|410032172|Acute Lymphocytic|2015-2019
0-19|3.4|3.5|3.5|14018|Incidence|406294186|Acute Lymphocytic|2015-2019
0-19|0.2|0.2|0.2|858|Mortality|410032172|Acute Myeloid|2015-2019
0-19|0.7|0.8|0.8|3070|Incidence|406294186|Acute Myeloid|2015-2019
0-19|2.2|2.3|2.2|9117|Mortality|410032172|All Cancer Sites Combined|2015-2019
0-19|18.9|19.2|19.0|77612|Incidence|406294186|All Cancer Sites Combined|2015-2019
0-19|0.2|0.2|0.2|954|Mortality|410032172|Bones and Joints|2015-2019
0-19|0.9|1.0|1.0|3962|Incidence|406294186|Bones and Joints|2015-2019
0-19|0.6|0.7|0.6|2647|Mortality|410032172|Brain and Other Nervous System|2015-2019
0-19|3.2|3.3|3.2|13097|Incidence|406294186|Brain and Other Nervous System|2015-2019
0-19|0.0|0.0|0.0|45|Mortality|410032172|Hodgkin Lymphoma|2015-2019
0-19|1.2|1.3|1.2|5084|Incidence|406294186|Hodgkin Lymphoma|2015-2019
0-19|0.1|0.1|0.1|238|Mortality|410032172|Kidney and Renal Pelvis|2015-2019
0-19|0.7|0.7|0.7|2909|Incidence|406294186|Kidney and Renal Pelvis|2015-2019
0-19|0.5|0.6|0.6|2313|Mortality|410032172|Leukemia|2015-2019
0-19|4.5|4.6|4.6|18630|Incidence|406294186|Leukemia|2015-2019
0-19|0.1|0.1|0.1|311|Mortality|410032172|Non-Hodgkin Lymphoma|2015-2019
0-19|1.2|1.3|1.3|5105|Incidence|406294186|Non-Hodgkin Lymphoma|2015-2019
0-19|0.4|0.5|0.4|1791|Mortality|410032172|Other|2015-2019
0-19|5.9|6.0|6.0|24401|Incidence|406294186|Other|2015-2019
0-19|0.2|0.2|0.2|818|Mortality|410032172|Soft Tissue|2015-2019
0-19|1.1|1.1|1.1|4424|Incidence|406294186|Soft Tissue|2015-2019
0-14|0.2|0.3|0.2|146|Mortality|61021294|Acute Lymphocytic|2016
0-14|4.0|4.3|4.1|2533|Incidence|61021294|Acute Lymphocytic|2016
0-14|0.2|0.3|0.2|133|Mortality|61021294|Acute Myeloid|2016
0-14|0.7|0.8|0.8|464|Incidence|61021294|Acute Myeloid|2016
0-14|2.1|2.3|2.2|1324|Mortality|61021294|All Cancer Sites Combined|2016
0-14|17.4|18.1|17.7|10856|Incidence|61021294|All Cancer Sites Combined|2016
0-14|0.1|0.2|0.1|82|Mortality|61021294|Bones and Joints|2016
0-14|0.8|0.9|0.8|506|Incidence|61021294|Bones and Joints|2016
0-14|0.7|0.8|0.7|444|Mortality|61021294|Brain and Other Nervous System|2016
0-14|3.5|3.8|3.7|2247|Incidence|61021294|Brain and Other Nervous System|2016
0-14|~|~|~|~|Mortality|61021294|Hodgkin Lymphoma|2016
0-14|0.5|0.6|0.6|352|Incidence|61021294|Hodgkin Lymphoma|2016
0-14|0.0|0.1|0.1|38|Mortality|61021294|Kidney and Renal Pelvis|2016
0-14|0.8|1.0|0.9|544|Incidence|61021294|Kidney and Renal Pelvis|2016
0-14|0.5|0.6|0.6|351|Mortality|61021294|Leukemia|2016
0-14|5.1|5.4|5.3|3222|Incidence|61021294|Leukemia|2016
0-14|0.0|0.1|0.1|31|Mortality|61021294|Non-Hodgkin Lymphoma|2016
0-14|1.0|1.2|1.1|671|Incidence|61021294|Non-Hodgkin Lymphoma|2016
0-14|0.4|0.5|0.4|269|Mortality|61021294|Other|2016
0-14|4.2|4.5|4.4|2670|Incidence|61021294|Other|2016
0-14|0.1|0.2|0.2|107|Mortality|61021294|Soft Tissue|2016
0-14|1.0|1.1|1.1|644|Incidence|61021294|Soft Tissue|2016
0-19|0.2|0.3|0.3|218|Mortality|82161437|Acute Lymphocytic|2016
0-19|3.4|3.7|3.6|2917|Incidence|82161437|Acute Lymphocytic|2016
0-19|0.2|0.3|0.2|179|Mortality|82161437|Acute Myeloid|2016
0-19|0.7|0.9|0.8|659|Incidence|82161437|Acute Myeloid|2016
0-19|2.2|2.4|2.3|1920|Mortality|82161437|All Cancer Sites Combined|2016
0-19|19.2|19.8|19.5|16063|Incidence|82161437|All Cancer Sites Combined|2016
0-19|0.2|0.3|0.2|200|Mortality|82161437|Bones and Joints|2016
0-19|0.9|1.1|1.0|831|Incidence|82161437|Bones and Joints|2016
0-19|0.6|0.7|0.7|552|Mortality|82161437|Brain and Other Nervous System|2016
0-19|3.2|3.4|3.3|2694|Incidence|82161437|Brain and Other Nervous System|2016
0-19|~|~|~|~|Mortality|82161437|Hodgkin Lymphoma|2016
0-19|1.2|1.3|1.3|1040|Incidence|82161437|Hodgkin Lymphoma|2016
0-19|0.0|0.1|0.1|51|Mortality|82161437|Kidney and Renal Pelvis|2016
0-19|0.7|0.8|0.7|591|Incidence|82161437|Kidney and Renal Pelvis|2016
0-19|0.6|0.7|0.6|499|Mortality|82161437|Leukemia|2016
0-19|4.6|4.9|4.7|3901|Incidence|82161437|Leukemia|2016
0-19|0.1|0.1|0.1|60|Mortality|82161437|Non-Hodgkin Lymphoma|2016
0-19|1.3|1.4|1.3|1094|Incidence|82161437|Non-Hodgkin Lymphoma|2016
0-19|0.4|0.5|0.5|385|Mortality|82161437|Other|2016
0-19|5.9|6.2|6.0|5010|Incidence|82161437|Other|2016
0-19|0.2|0.2|0.2|167|Mortality|82161437|Soft Tissue|2016
0-19|1.0|1.2|1.1|902|Incidence|82161437|Soft Tissue|2016
0-14|0.2|0.2|0.2|122|Mortality|61008778|Acute Lymphocytic|2017
0-14|3.7|4.1|3.9|2394|Incidence|61008778|Acute Lymphocytic|2017
0-14|0.2|0.2|0.2|128|Mortality|61008778|Acute Myeloid|2017
0-14|0.6|0.8|0.7|431|Incidence|61008778|Acute Myeloid|2017
0-14|1.9|2.1|2.0|1237|Mortality|61008778|All Cancer Sites Combined|2017
0-14|17.0|17.7|17.3|10592|Incidence|61008778|All Cancer Sites Combined|2017
0-14|0.1|0.1|0.1|67|Mortality|61008778|Bones and Joints|2017
0-14|0.7|0.9|0.8|476|Incidence|61008778|Bones and Joints|2017
0-14|0.6|0.8|0.7|422|Mortality|61008778|Brain and Other Nervous System|2017
0-14|3.7|4.0|3.8|2344|Incidence|61008778|Brain and Other Nervous System|2017
0-14|~|~|~|~|Mortality|61008778|Hodgkin Lymphoma|2017
0-14|0.5|0.6|0.6|353|Incidence|61008778|Hodgkin Lymphoma|2017
0-14|0.0|0.1|0.1|38|Mortality|61008778|Kidney and Renal Pelvis|2017
0-14|0.8|1.0|0.9|540|Incidence|61008778|Kidney and Renal Pelvis|2017
0-14|0.5|0.6|0.5|315|Mortality|61008778|Leukemia|2017
0-14|4.8|5.1|5.0|3035|Incidence|61008778|Leukemia|2017
0-14|0.0|0.1|0.1|34|Mortality|61008778|Non-Hodgkin Lymphoma|2017
0-14|0.9|1.1|1.0|611|Incidence|61008778|Non-Hodgkin Lymphoma|2017
0-14|0.4|0.5|0.4|258|Mortality|61008778|Other|2017
0-14|4.1|4.4|4.3|2607|Incidence|61008778|Other|2017
0-14|0.1|0.2|0.2|102|Mortality|61008778|Soft Tissue|2017
0-14|0.9|1.1|1.0|626|Incidence|61008778|Soft Tissue|2017
0-19|0.2|0.3|0.2|181|Mortality|82114364|Acute Lymphocytic|2017
0-19|3.2|3.5|3.3|2741|Incidence|82114364|Acute Lymphocytic|2017
0-19|0.2|0.3|0.2|187|Mortality|82114364|Acute Myeloid|2017
0-19|0.7|0.8|0.7|604|Incidence|82114364|Acute Myeloid|2017
0-19|2.1|2.3|2.2|1797|Mortality|82114364|All Cancer Sites Combined|2017
0-19|18.6|19.2|18.9|15590|Incidence|82114364|All Cancer Sites Combined|2017
0-19|0.2|0.2|0.2|171|Mortality|82114364|Bones and Joints|2017
0-19|0.9|1.0|1.0|798|Incidence|82114364|Bones and Joints|2017
0-19|0.6|0.7|0.6|519|Mortality|82114364|Brain and Other Nervous System|2017
0-19|3.4|3.6|3.5|2868|Incidence|82114364|Brain and Other Nervous System|2017
0-19|~|~|~|~|Mortality|82114364|Hodgkin Lymphoma|2017
0-19|1.1|1.3|1.2|1016|Incidence|82114364|Hodgkin Lymphoma|2017
0-19|0.0|0.1|0.1|47|Mortality|82114364|Kidney and Renal Pelvis|2017
0-19|0.7|0.8|0.7|583|Incidence|82114364|Kidney and Renal Pelvis|2017
0-19|0.5|0.6|0.6|460|Mortality|82114364|Leukemia|2017
0-19|4.3|4.6|4.5|3668|Incidence|82114364|Leukemia|2017
0-19|0.1|0.1|0.1|58|Mortality|82114364|Non-Hodgkin Lymphoma|2017
0-19|1.2|1.3|1.2|1020|Incidence|82114364|Non-Hodgkin Lymphoma|2017
0-19|0.4|0.5|0.4|368|Mortality|82114364|Other|2017
0-19|5.6|5.9|5.7|4745|Incidence|82114364|Other|2017
0-19|0.2|0.2|0.2|164|Mortality|82114364|Soft Tissue|2017
0-19|1.0|1.2|1.1|892|Incidence|82114364|Soft Tissue|2017
0-14|0.2|0.2|0.2|118|Mortality|60879327|Acute Lymphocytic|2018
0-14|3.9|4.2|4.1|2473|Incidence|60304658|Acute Lymphocytic|2018
0-14|0.2|0.2|0.2|127|Mortality|60879327|Acute Myeloid|2018
0-14|0.6|0.8|0.7|419|Incidence|60304658|Acute Myeloid|2018
0-14|1.9|2.1|2.0|1220|Mortality|60879327|All Cancer Sites Combined|2018
0-14|16.9|17.5|17.2|10388|Incidence|60304658|All Cancer Sites Combined|2018
0-14|0.1|0.2|0.2|97|Mortality|60879327|Bones and Joints|2018
0-14|0.8|0.9|0.8|500|Incidence|60304658|Bones and Joints|2018
0-14|0.6|0.7|0.7|409|Mortality|60879327|Brain and Other Nervous System|2018
0-14|3.3|3.6|3.4|2062|Incidence|60304658|Brain and Other Nervous System|2018
0-14|~|~|~|~|Mortality|60879327|Hodgkin Lymphoma|2018
0-14|0.5|0.7|0.6|364|Incidence|60304658|Hodgkin Lymphoma|2018
0-14|0.0|0.1|0.1|41|Mortality|60879327|Kidney and Renal Pelvis|2018
0-14|0.8|0.9|0.9|526|Incidence|60304658|Kidney and Renal Pelvis|2018
0-14|0.4|0.5|0.5|297|Mortality|60879327|Leukemia|2018
0-14|4.9|5.3|5.1|3102|Incidence|60304658|Leukemia|2018
0-14|0.0|0.1|0.0|29|Mortality|60879327|Non-Hodgkin Lymphoma|2018
0-14|1.0|1.1|1.0|629|Incidence|60304658|Non-Hodgkin Lymphoma|2018
0-14|0.3|0.4|0.4|233|Mortality|60879327|Other|2018
0-14|4.2|4.5|4.3|2620|Incidence|60304658|Other|2018
0-14|0.1|0.2|0.2|111|Mortality|60879327|Soft Tissue|2018
0-14|0.9|1.1|1.0|585|Incidence|60304658|Soft Tissue|2018
0-19|0.2|0.3|0.2|196|Mortality|81956393|Acute Lymphocytic|2018
0-19|3.4|3.7|3.6|2894|Incidence|81200720|Acute Lymphocytic|2018
0-19|0.2|0.3|0.2|178|Mortality|81956393|Acute Myeloid|2018
0-19|0.7|0.8|0.7|587|Incidence|81200720|Acute Myeloid|2018
0-19|2.1|2.3|2.2|1841|Mortality|81956393|All Cancer Sites Combined|2018
0-19|18.7|19.3|18.9|15436|Incidence|81200720|All Cancer Sites Combined|2018
0-19|0.2|0.3|0.2|195|Mortality|81956393|Bones and Joints|2018
0-19|0.9|1.1|1.0|817|Incidence|81200720|Bones and Joints|2018
0-19|0.6|0.7|0.7|532|Mortality|81956393|Brain and Other Nervous System|2018
0-19|3.0|3.2|3.1|2531|Incidence|81200720|Brain and Other Nervous System|2018
0-19|~|~|~|~|Mortality|81956393|Hodgkin Lymphoma|2018
0-19|1.2|1.3|1.2|1022|Incidence|81200720|Hodgkin Lymphoma|2018
0-19|0.0|0.1|0.1|50|Mortality|81956393|Kidney and Renal Pelvis|2018
0-19|0.6|0.8|0.7|571|Incidence|81200720|Kidney and Renal Pelvis|2018
0-19|0.5|0.6|0.6|459|Mortality|81956393|Leukemia|2018
0-19|4.5|4.8|4.7|3792|Incidence|81200720|Leukemia|2018
0-19|0.1|0.1|0.1|55|Mortality|81956393|Non-Hodgkin Lymphoma|2018
0-19|1.2|1.3|1.2|999|Incidence|81200720|Non-Hodgkin Lymphoma|2018
0-19|0.4|0.5|0.4|346|Mortality|81956393|Other|2018
0-19|5.8|6.2|6.0|4896|Incidence|81200720|Other|2018
0-19|0.2|0.3|0.2|192|Mortality|81956393|Soft Tissue|2018
0-19|0.9|1.1|1.0|808|Incidence|81200720|Soft Tissue|2018
0-14|0.2|0.3|0.2|136|Mortality|60613145|Acute Lymphocytic|2019
0-14|3.6|4.0|3.8|2283|Incidence|60033795|Acute Lymphocytic|2019
0-14|0.2|0.2|0.2|111|Mortality|60613145|Acute Myeloid|2019
0-14|0.6|0.8|0.7|429|Incidence|60033795|Acute Myeloid|2019
0-14|1.7|1.9|1.8|1115|Mortality|60613145|All Cancer Sites Combined|2019
0-14|16.0|16.6|16.3|9790|Incidence|60033795|All Cancer Sites Combined|2019
0-14|0.1|0.2|0.1|73|Mortality|60613145|Bones and Joints|2019
0-14|0.7|0.9|0.8|475|Incidence|60033795|Bones and Joints|2019
0-14|0.6|0.7|0.6|381|Mortality|60613145|Brain and Other Nervous System|2019
0-14|3.0|3.3|3.2|1895|Incidence|60033795|Brain and Other Nervous System|2019
0-14|~|~|~|~|Mortality|60613145|Hodgkin Lymphoma|2019
0-14|0.5|0.6|0.6|332|Incidence|60033795|Hodgkin Lymphoma|2019
0-14|0.0|0.1|0.1|35|Mortality|60613145|Kidney and Renal Pelvis|2019
0-14|0.7|0.9|0.8|474|Incidence|60033795|Kidney and Renal Pelvis|2019
0-14|0.4|0.5|0.5|292|Mortality|60613145|Leukemia|2019
0-14|4.6|5.0|4.8|2882|Incidence|60033795|Leukemia|2019
0-14|0.0|0.1|0.0|23|Mortality|60613145|Non-Hodgkin Lymphoma|2019
0-14|0.9|1.0|1.0|576|Incidence|60033795|Non-Hodgkin Lymphoma|2019
0-14|0.3|0.4|0.4|234|Mortality|60613145|Other|2019
0-14|4.0|4.4|4.2|2514|Incidence|60033795|Other|2019
0-14|0.1|0.2|0.1|77|Mortality|60613145|Soft Tissue|2019
0-14|1.0|1.2|1.1|642|Incidence|60033795|Soft Tissue|2019
0-19|0.2|0.3|0.2|189|Mortality|81679568|Acute Lymphocytic|2019
0-19|3.2|3.4|3.3|2655|Incidence|80916924|Acute Lymphocytic|2019
0-19|0.1|0.2|0.2|139|Mortality|81679568|Acute Myeloid|2019
0-19|0.7|0.8|0.7|597|Incidence|80916924|Acute Myeloid|2019
0-19|2.0|2.2|2.1|1704|Mortality|81679568|All Cancer Sites Combined|2019
0-19|17.9|18.5|18.2|14766|Incidence|80916924|All Cancer Sites Combined|2019
0-19|0.2|0.3|0.2|191|Mortality|81679568|Bones and Joints|2019
0-19|0.9|1.0|0.9|753|Incidence|80916924|Bones and Joints|2019
0-19|0.6|0.7|0.6|513|Mortality|81679568|Brain and Other Nervous System|2019
0-19|2.8|3.0|2.9|2345|Incidence|80916924|Brain and Other Nervous System|2019
0-19|~|~|~|~|Mortality|81679568|Hodgkin Lymphoma|2019
0-19|1.1|1.3|1.2|1001|Incidence|80916924|Hodgkin Lymphoma|2019
0-19|0.0|0.1|0.1|46|Mortality|81679568|Kidney and Renal Pelvis|2019
0-19|0.6|0.7|0.7|524|Incidence|80916924|Kidney and Renal Pelvis|2019
0-19|0.4|0.5|0.5|405|Mortality|81679568|Leukemia|2019
0-19|4.2|4.5|4.4|3518|Incidence|80916924|Leukemia|2019
0-19|0.1|0.1|0.1|65|Mortality|81679568|Non-Hodgkin Lymphoma|2019
0-19|1.1|1.3|1.2|963|Incidence|80916924|Non-Hodgkin Lymphoma|2019
0-19|0.4|0.5|0.4|342|Mortality|81679568|Other|2019
0-19|5.7|6.0|5.8|4760|Incidence|80916924|Other|2019
0-19|0.1|0.2|0.2|137|Mortality|81679568|Soft Tissue|2019
0-19|1.0|1.2|1.1|902|Incidence|80916924|Soft Tissue|2019
