AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
<1|~|~|~|~|Mortality|3931411|Liver and Intrahepatic Bile Duct|2013
<1|1.0|1.7|1.3|51|Incidence|3931411|Liver and Intrahepatic Bile Duct|2013
<1|~|~|~|~|Mortality|3931411|Lung and Bronchus|2013
<1|~|~|~|~|Incidence|3931411|Lung and Bronchus|2013
<1|~|~|~|~|Mortality|1921621|Male and Female Breast|2013
<1|~|~|~|~|Incidence|1921621|Male and Female Breast|2013
<1|~|~|~|~|Incidence|1921621|Male and Female Breast, <i>in situ</i>|2013
<1|~|~|~|~|Mortality|3931411|Melanomas of the Skin|2013
<1|~|~|~|~|Incidence|3931411|Melanomas of the Skin|2013
<1|~|~|~|~|Mortality|3931411|Mesothelioma|2013
<1|~|~|~|~|Incidence|3931411|Mesothelioma|2013
<1|~|~|~|~|Mortality|3931411|Myeloma|2013
<1|~|~|~|~|Incidence|3931411|Myeloma|2013
<1|~|~|~|~|Mortality|3931411|Non-Hodgkin Lymphoma|2013
<1|~|~|~|~|Incidence|3931411|Non-Hodgkin Lymphoma|2013
<1|~|~|~|~|Mortality|3931411|Oral Cavity and Pharynx|2013
<1|~|~|~|~|Incidence|3931411|Oral Cavity and Pharynx|2013
<1|~|~|~|~|Mortality|1921621|Ovary|2013
<1|~|~|~|~|Incidence|1921621|Ovary|2013
<1|~|~|~|~|Mortality|3931411|Pancreas|2013
<1|~|~|~|~|Incidence|3931411|Pancreas|2013
<1|~|~|~|~|Mortality|2009790|Prostate|2013
<1|~|~|~|~|Incidence|2009790|Prostate|2013
<1|~|~|~|~|Mortality|3931411|Stomach|2013
<1|~|~|~|~|Incidence|3931411|Stomach|2013
<1|~|~|~|~|Mortality|2009790|Testis|2013
<1|0.6|1.6|1.0|21|Incidence|2009790|Testis|2013
<1|~|~|~|~|Mortality|3931411|Thyroid|2013
<1|~|~|~|~|Incidence|3931411|Thyroid|2013
<1|~|~|~|~|Mortality|3931411|Urinary Bladder|2013
<1|~|~|~|~|Incidence|3931411|Urinary Bladder|2013
1-4|1.8|2.2|2.0|321|Mortality|15923833|All Cancer Sites Combined|2014
1-4|22.2|23.7|22.9|3651|Incidence|15923833|All Cancer Sites Combined|2014
1-4|0.4|0.7|0.5|87|Mortality|15923833|Brain and Other Nervous System|2014
1-4|4.3|5.0|4.6|739|Incidence|15923833|Brain and Other Nervous System|2014
1-4|~|~|~|~|Mortality|7785575|Cervix|2014
1-4|~|~|~|~|Incidence|7785575|Cervix|2014
1-4|~|~|~|~|Mortality|15923833|Colon and Rectum|2014
1-4|~|~|~|~|Incidence|15923833|Colon and Rectum|2014
1-4|~|~|~|~|Mortality|7785575|Corpus and Uterus, NOS|2014
1-4|~|~|~|~|Incidence|7785575|Corpus and Uterus, NOS|2014
1-4|~|~|~|~|Mortality|15923833|Esophagus|2014
1-4|~|~|~|~|Incidence|15923833|Esophagus|2014
1-4|~|~|~|~|Mortality|7785575|Female Breast|2014
1-4|~|~|~|~|Incidence|7785575|Female Breast|2014
1-4|~|~|~|~|Incidence|7785575|Female Breast, <i>in situ</i>|2014
1-4|~|~|~|~|Mortality|15923833|Hodgkin Lymphoma|2014
1-4|~|~|~|~|Incidence|15923833|Hodgkin Lymphoma|2014
1-4|.|.|.|.|Mortality|15923833|Kaposi Sarcoma|2014
1-4|~|~|~|~|Incidence|15923833|Kaposi Sarcoma|2014
1-4|~|~|~|~|Mortality|15923833|Kidney and Renal Pelvis|2014
1-4|1.8|2.3|2.1|329|Incidence|15923833|Kidney and Renal Pelvis|2014
1-4|~|~|~|~|Mortality|15923833|Larynx|2014
1-4|~|~|~|~|Incidence|15923833|Larynx|2014
1-4|0.5|0.8|0.6|101|Mortality|15923833|Leukemias|2014
1-4|8.3|9.3|8.8|1402|Incidence|15923833|Leukemias|2014
1-4|~|~|~|~|Mortality|15923833|Liver and Intrahepatic Bile Duct|2014
1-4|0.5|0.8|0.6|101|Incidence|15923833|Liver and Intrahepatic Bile Duct|2014
1-4|~|~|~|~|Mortality|15923833|Lung and Bronchus|2014
1-4|~|~|~|~|Incidence|15923833|Lung and Bronchus|2014
1-4|~|~|~|~|Mortality|7785575|Male and Female Breast|2014
1-4|~|~|~|~|Incidence|7785575|Male and Female Breast|2014
1-4|~|~|~|~|Incidence|7785575|Male and Female Breast, <i>in situ</i>|2014
1-4|~|~|~|~|Mortality|15923833|Melanomas of the Skin|2014
1-4|0.1|0.2|0.2|27|Incidence|15923833|Melanomas of the Skin|2014
1-4|~|~|~|~|Mortality|15923833|Mesothelioma|2014
1-4|~|~|~|~|Incidence|15923833|Mesothelioma|2014
1-4|~|~|~|~|Mortality|15923833|Myeloma|2014
1-4|~|~|~|~|Incidence|15923833|Myeloma|2014
1-4|~|~|~|~|Mortality|15923833|Non-Hodgkin Lymphoma|2014
1-4|0.7|1.0|0.8|129|Incidence|15923833|Non-Hodgkin Lymphoma|2014
1-4|~|~|~|~|Mortality|15923833|Oral Cavity and Pharynx|2014
1-4|~|~|~|~|Incidence|15923833|Oral Cavity and Pharynx|2014
1-4|~|~|~|~|Mortality|7785575|Ovary|2014
1-4|~|~|~|~|Incidence|7785575|Ovary|2014
1-4|~|~|~|~|Mortality|15923833|Pancreas|2014
1-4|~|~|~|~|Incidence|15923833|Pancreas|2014
1-4|~|~|~|~|Mortality|8138258|Prostate|2014
1-4|~|~|~|~|Incidence|8138258|Prostate|2014
1-4|~|~|~|~|Mortality|15923833|Stomach|2014
1-4|~|~|~|~|Incidence|15923833|Stomach|2014
1-4|~|~|~|~|Mortality|8138258|Testis|2014
1-4|0.2|0.4|0.3|23|Incidence|8138258|Testis|2014
1-4|~|~|~|~|Mortality|15923833|Thyroid|2014
1-4|~|~|~|~|Incidence|15923833|Thyroid|2014
1-4|~|~|~|~|Mortality|15923833|Urinary Bladder|2014
1-4|~|~|~|~|Incidence|15923833|Urinary Bladder|2014
10-14|1.8|2.2|2.0|416|Mortality|20673760|All Cancer Sites Combined|2014
10-14|14.9|16.0|15.4|3188|Incidence|20673760|All Cancer Sites Combined|2014
10-14|0.5|0.8|0.6|133|Mortality|20673760|Brain and Other Nervous System|2014
10-14|2.9|3.4|3.1|648|Incidence|20673760|Brain and Other Nervous System|2014
10-14|~|~|~|~|Mortality|10122728|Cervix|2014
10-14|~|~|~|~|Incidence|10122728|Cervix|2014
10-14|~|~|~|~|Mortality|20673760|Colon and Rectum|2014
10-14|0.2|0.4|0.3|62|Incidence|20673760|Colon and Rectum|2014
10-14|~|~|~|~|Mortality|10122728|Corpus and Uterus, NOS|2014
10-14|~|~|~|~|Incidence|10122728|Corpus and Uterus, NOS|2014
10-14|~|~|~|~|Mortality|20673760|Esophagus|2014
10-14|~|~|~|~|Incidence|20673760|Esophagus|2014
10-14|~|~|~|~|Mortality|10122728|Female Breast|2014
10-14|~|~|~|~|Incidence|10122728|Female Breast|2014
10-14|~|~|~|~|Incidence|10122728|Female Breast, <i>in situ</i>|2014
10-14|~|~|~|~|Mortality|20673760|Hodgkin Lymphoma|2014
10-14|1.1|1.4|1.2|253|Incidence|20673760|Hodgkin Lymphoma|2014
10-14|.|.|.|.|Mortality|20673760|Kaposi Sarcoma|2014
10-14|~|~|~|~|Incidence|20673760|Kaposi Sarcoma|2014
10-14|~|~|~|~|Mortality|20673760|Kidney and Renal Pelvis|2014
10-14|0.1|0.2|0.2|34|Incidence|20673760|Kidney and Renal Pelvis|2014
10-14|~|~|~|~|Mortality|20673760|Larynx|2014
10-14|~|~|~|~|Incidence|20673760|Larynx|2014
10-14|0.4|0.6|0.5|97|Mortality|20673760|Leukemias|2014
10-14|2.8|3.3|3.1|635|Incidence|20673760|Leukemias|2014
10-14|~|~|~|~|Mortality|20673760|Liver and Intrahepatic Bile Duct|2014
10-14|0.1|0.2|0.1|23|Incidence|20673760|Liver and Intrahepatic Bile Duct|2014
10-14|~|~|~|~|Mortality|20673760|Lung and Bronchus|2014
10-14|~|~|~|~|Incidence|20673760|Lung and Bronchus|2014
10-14|~|~|~|~|Mortality|10122728|Male and Female Breast|2014
10-14|~|~|~|~|Incidence|10122728|Male and Female Breast|2014
10-14|~|~|~|~|Incidence|10122728|Male and Female Breast, <i>in situ</i>|2014
10-14|~|~|~|~|Mortality|20673760|Melanomas of the Skin|2014
10-14|0.2|0.3|0.3|53|Incidence|20673760|Melanomas of the Skin|2014
10-14|~|~|~|~|Mortality|20673760|Mesothelioma|2014
10-14|~|~|~|~|Incidence|20673760|Mesothelioma|2014
10-14|~|~|~|~|Mortality|20673760|Myeloma|2014
10-14|~|~|~|~|Incidence|20673760|Myeloma|2014
10-14|0.1|0.1|0.1|19|Mortality|20673760|Non-Hodgkin Lymphoma|2014
10-14|1.4|1.7|1.5|313|Incidence|20673760|Non-Hodgkin Lymphoma|2014
10-14|~|~|~|~|Mortality|20673760|Oral Cavity and Pharynx|2014
10-14|0.2|0.3|0.2|44|Incidence|20673760|Oral Cavity and Pharynx|2014
10-14|~|~|~|~|Mortality|10122728|Ovary|2014
10-14|0.7|1.0|0.8|84|Incidence|10122728|Ovary|2014
10-14|~|~|~|~|Mortality|20673760|Pancreas|2014
10-14|0.0|0.1|0.1|17|Incidence|20673760|Pancreas|2014
10-14|~|~|~|~|Mortality|10551032|Prostate|2014
10-14|~|~|~|~|Incidence|10551032|Prostate|2014
10-14|~|~|~|~|Mortality|20673760|Stomach|2014
10-14|~|~|~|~|Incidence|20673760|Stomach|2014
10-14|~|~|~|~|Mortality|10551032|Testis|2014
10-14|0.1|0.2|0.2|16|Incidence|10551032|Testis|2014
10-14|~|~|~|~|Mortality|20673760|Thyroid|2014
10-14|0.8|1.1|0.9|194|Incidence|20673760|Thyroid|2014
10-14|~|~|~|~|Mortality|20673760|Urinary Bladder|2014
10-14|~|~|~|~|Incidence|20673760|Urinary Bladder|2014
15-19|2.7|3.1|2.9|612|Mortality|21060362|All Cancer Sites Combined|2014
15-19|22.9|24.2|23.5|4957|Incidence|21060362|All Cancer Sites Combined|2014
15-19|0.6|0.8|0.7|139|Mortality|21060362|Brain and Other Nervous System|2014
15-19|2.2|2.7|2.4|515|Incidence|21060362|Brain and Other Nervous System|2014
15-19|~|~|~|~|Mortality|10282180|Cervix|2014
15-19|~|~|~|~|Incidence|10282180|Cervix|2014
15-19|~|~|~|~|Mortality|21060362|Colon and Rectum|2014
15-19|0.6|0.8|0.7|146|Incidence|21060362|Colon and Rectum|2014
15-19|~|~|~|~|Mortality|10282180|Corpus and Uterus, NOS|2014
15-19|~|~|~|~|Incidence|10282180|Corpus and Uterus, NOS|2014
15-19|~|~|~|~|Mortality|21060362|Esophagus|2014
15-19|~|~|~|~|Incidence|21060362|Esophagus|2014
15-19|~|~|~|~|Mortality|10282180|Female Breast|2014
15-19|0.1|0.3|0.2|16|Incidence|10282180|Female Breast|2014
15-19|~|~|~|~|Incidence|10282180|Female Breast, <i>in situ</i>|2014
15-19|~|~|~|~|Mortality|21060362|Hodgkin Lymphoma|2014
15-19|2.9|3.3|3.1|652|Incidence|21060362|Hodgkin Lymphoma|2014
15-19|.|.|.|.|Mortality|21060362|Kaposi Sarcoma|2014
15-19|~|~|~|~|Incidence|21060362|Kaposi Sarcoma|2014
15-19|~|~|~|~|Mortality|21060362|Kidney and Renal Pelvis|2014
15-19|0.2|0.3|0.2|50|Incidence|21060362|Kidney and Renal Pelvis|2014
15-19|~|~|~|~|Mortality|21060362|Larynx|2014
15-19|~|~|~|~|Incidence|21060362|Larynx|2014
15-19|0.6|0.9|0.8|160|Mortality|21060362|Leukemias|2014
15-19|3.0|3.5|3.2|678|Incidence|21060362|Leukemias|2014
15-19|~|~|~|~|Mortality|21060362|Liver and Intrahepatic Bile Duct|2014
15-19|0.1|0.2|0.1|23|Incidence|21060362|Liver and Intrahepatic Bile Duct|2014
15-19|~|~|~|~|Mortality|21060362|Lung and Bronchus|2014
15-19|0.1|0.1|0.1|19|Incidence|21060362|Lung and Bronchus|2014
15-19|~|~|~|~|Mortality|10282180|Male and Female Breast|2014
15-19|0.1|0.3|0.2|16|Incidence|10282180|Male and Female Breast|2014
15-19|~|~|~|~|Incidence|10282180|Male and Female Breast, <i>in situ</i>|2014
15-19|~|~|~|~|Mortality|21060362|Melanomas of the Skin|2014
15-19|0.8|1.0|0.9|191|Incidence|21060362|Melanomas of the Skin|2014
15-19|~|~|~|~|Mortality|21060362|Mesothelioma|2014
15-19|~|~|~|~|Incidence|21060362|Mesothelioma|2014
15-19|~|~|~|~|Mortality|21060362|Myeloma|2014
15-19|~|~|~|~|Incidence|21060362|Myeloma|2014
15-19|0.1|0.2|0.1|30|Mortality|21060362|Non-Hodgkin Lymphoma|2014
15-19|1.9|2.3|2.1|443|Incidence|21060362|Non-Hodgkin Lymphoma|2014
15-19|~|~|~|~|Mortality|21060362|Oral Cavity and Pharynx|2014
15-19|0.3|0.5|0.4|88|Incidence|21060362|Oral Cavity and Pharynx|2014
15-19|~|~|~|~|Mortality|10282180|Ovary|2014
15-19|1.0|1.4|1.2|122|Incidence|10282180|Ovary|2014
15-19|~|~|~|~|Mortality|21060362|Pancreas|2014
15-19|0.1|0.2|0.2|32|Incidence|21060362|Pancreas|2014
15-19|~|~|~|~|Mortality|10778182|Prostate|2014
15-19|~|~|~|~|Incidence|10778182|Prostate|2014
15-19|~|~|~|~|Mortality|21060362|Stomach|2014
15-19|~|~|~|~|Incidence|21060362|Stomach|2014
15-19|~|~|~|~|Mortality|10778182|Testis|2014
15-19|3.2|4.0|3.6|387|Incidence|10778182|Testis|2014
15-19|~|~|~|~|Mortality|21060362|Thyroid|2014
15-19|2.9|3.4|3.1|656|Incidence|21060362|Thyroid|2014
15-19|~|~|~|~|Mortality|21060362|Urinary Bladder|2014
15-19|0.1|0.1|0.1|18|Incidence|21060362|Urinary Bladder|2014
5-9|1.9|2.3|2.1|436|Mortality|20526270|All Cancer Sites Combined|2014
5-9|13.3|14.3|13.8|2832|Incidence|20526270|All Cancer Sites Combined|2014
5-9|0.8|1.1|0.9|188|Mortality|20526270|Brain and Other Nervous System|2014
5-9|3.4|4.0|3.7|755|Incidence|20526270|Brain and Other Nervous System|2014
5-9|~|~|~|~|Mortality|10046117|Cervix|2014
5-9|~|~|~|~|Incidence|10046117|Cervix|2014
5-9|~|~|~|~|Mortality|20526270|Colon and Rectum|2014
5-9|~|~|~|~|Incidence|20526270|Colon and Rectum|2014
5-9|~|~|~|~|Mortality|10046117|Corpus and Uterus, NOS|2014
5-9|~|~|~|~|Incidence|10046117|Corpus and Uterus, NOS|2014
5-9|~|~|~|~|Mortality|20526270|Esophagus|2014
5-9|~|~|~|~|Incidence|20526270|Esophagus|2014
5-9|~|~|~|~|Mortality|10046117|Female Breast|2014
5-9|~|~|~|~|Incidence|10046117|Female Breast|2014
5-9|~|~|~|~|Incidence|10046117|Female Breast, <i>in situ</i>|2014
5-9|~|~|~|~|Mortality|20526270|Hodgkin Lymphoma|2014
5-9|0.3|0.5|0.4|80|Incidence|20526270|Hodgkin Lymphoma|2014
5-9|.|.|.|.|Mortality|20526270|Kaposi Sarcoma|2014
5-9|~|~|~|~|Incidence|20526270|Kaposi Sarcoma|2014
5-9|~|~|~|~|Mortality|20526270|Kidney and Renal Pelvis|2014
5-9|0.6|0.8|0.7|138|Incidence|20526270|Kidney and Renal Pelvis|2014
5-9|~|~|~|~|Mortality|20526270|Larynx|2014
5-9|~|~|~|~|Incidence|20526270|Larynx|2014
5-9|0.3|0.5|0.4|87|Mortality|20526270|Leukemias|2014
5-9|3.9|4.5|4.2|859|Incidence|20526270|Leukemias|2014
5-9|~|~|~|~|Mortality|20526270|Liver and Intrahepatic Bile Duct|2014
5-9|0.1|0.2|0.1|22|Incidence|20526270|Liver and Intrahepatic Bile Duct|2014
5-9|~|~|~|~|Mortality|20526270|Lung and Bronchus|2014
5-9|~|~|~|~|Incidence|20526270|Lung and Bronchus|2014
5-9|~|~|~|~|Mortality|10046117|Male and Female Breast|2014
5-9|~|~|~|~|Incidence|10046117|Male and Female Breast|2014
5-9|~|~|~|~|Incidence|10046117|Male and Female Breast, <i>in situ</i>|2014
5-9|~|~|~|~|Mortality|20526270|Melanomas of the Skin|2014
5-9|0.1|0.3|0.2|38|Incidence|20526270|Melanomas of the Skin|2014
5-9|~|~|~|~|Mortality|20526270|Mesothelioma|2014
5-9|~|~|~|~|Incidence|20526270|Mesothelioma|2014
5-9|~|~|~|~|Mortality|20526270|Myeloma|2014
5-9|~|~|~|~|Incidence|20526270|Myeloma|2014
5-9|~|~|~|~|Mortality|20526270|Non-Hodgkin Lymphoma|2014
5-9|1.0|1.3|1.2|242|Incidence|20526270|Non-Hodgkin Lymphoma|2014
5-9|~|~|~|~|Mortality|20526270|Oral Cavity and Pharynx|2014
5-9|0.1|0.1|0.1|18|Incidence|20526270|Oral Cavity and Pharynx|2014
5-9|~|~|~|~|Mortality|10046117|Ovary|2014
5-9|0.2|0.4|0.2|24|Incidence|10046117|Ovary|2014
5-9|~|~|~|~|Mortality|20526270|Pancreas|2014
5-9|~|~|~|~|Incidence|20526270|Pancreas|2014
5-9|~|~|~|~|Mortality|10480153|Prostate|2014
5-9|~|~|~|~|Incidence|10480153|Prostate|2014
5-9|~|~|~|~|Mortality|20526270|Stomach|2014
5-9|~|~|~|~|Incidence|20526270|Stomach|2014
5-9|~|~|~|~|Mortality|10480153|Testis|2014
5-9|~|~|~|~|Incidence|10480153|Testis|2014
5-9|~|~|~|~|Mortality|20526270|Thyroid|2014
5-9|0.1|0.3|0.2|39|Incidence|20526270|Thyroid|2014
5-9|~|~|~|~|Mortality|20526270|Urinary Bladder|2014
5-9|~|~|~|~|Incidence|20526270|Urinary Bladder|2014
<1|1.0|1.7|1.3|52|Mortality|3954973|All Cancer Sites Combined|2014
<1|27.0|30.3|28.6|1131|Incidence|3954973|All Cancer Sites Combined|2014
<1|~|~|~|~|Mortality|3954973|Brain and Other Nervous System|2014
<1|3.6|4.9|4.2|167|Incidence|3954973|Brain and Other Nervous System|2014
<1|~|~|~|~|Mortality|1930369|Cervix|2014
<1|~|~|~|~|Incidence|1930369|Cervix|2014
<1|~|~|~|~|Mortality|3954973|Colon and Rectum|2014
<1|~|~|~|~|Incidence|3954973|Colon and Rectum|2014
<1|~|~|~|~|Mortality|1930369|Corpus and Uterus, NOS|2014
<1|~|~|~|~|Incidence|1930369|Corpus and Uterus, NOS|2014
<1|~|~|~|~|Mortality|3954973|Esophagus|2014
<1|~|~|~|~|Incidence|3954973|Esophagus|2014
<1|~|~|~|~|Mortality|1930369|Female Breast|2014
<1|~|~|~|~|Incidence|1930369|Female Breast|2014
<1|~|~|~|~|Incidence|1930369|Female Breast, <i>in situ</i>|2014
<1|~|~|~|~|Mortality|3954973|Hodgkin Lymphoma|2014
<1|~|~|~|~|Incidence|3954973|Hodgkin Lymphoma|2014
<1|.|.|.|.|Mortality|3954973|Kaposi Sarcoma|2014
<1|~|~|~|~|Incidence|3954973|Kaposi Sarcoma|2014
<1|~|~|~|~|Mortality|3954973|Kidney and Renal Pelvis|2014
<1|1.5|2.3|1.9|74|Incidence|3954973|Kidney and Renal Pelvis|2014
<1|~|~|~|~|Mortality|3954973|Larynx|2014
<1|~|~|~|~|Incidence|3954973|Larynx|2014
<1|~|~|~|~|Mortality|3954973|Leukemias|2014
<1|3.3|4.6|3.9|156|Incidence|3954973|Leukemias|2014
<1|~|~|~|~|Mortality|3954973|Liver and Intrahepatic Bile Duct|2014
<1|1.2|2.0|1.6|63|Incidence|3954973|Liver and Intrahepatic Bile Duct|2014
<1|~|~|~|~|Mortality|3954973|Lung and Bronchus|2014
<1|~|~|~|~|Incidence|3954973|Lung and Bronchus|2014
<1|~|~|~|~|Mortality|1930369|Male and Female Breast|2014
<1|~|~|~|~|Incidence|1930369|Male and Female Breast|2014
<1|~|~|~|~|Incidence|1930369|Male and Female Breast, <i>in situ</i>|2014
<1|~|~|~|~|Mortality|3954973|Melanomas of the Skin|2014
<1|~|~|~|~|Incidence|3954973|Melanomas of the Skin|2014
<1|~|~|~|~|Mortality|3954973|Mesothelioma|2014
<1|~|~|~|~|Incidence|3954973|Mesothelioma|2014
<1|~|~|~|~|Mortality|3954973|Myeloma|2014
<1|~|~|~|~|Incidence|3954973|Myeloma|2014
<1|~|~|~|~|Mortality|3954973|Non-Hodgkin Lymphoma|2014
<1|~|~|~|~|Incidence|3954973|Non-Hodgkin Lymphoma|2014
<1|~|~|~|~|Mortality|3954973|Oral Cavity and Pharynx|2014
<1|~|~|~|~|Incidence|3954973|Oral Cavity and Pharynx|2014
<1|~|~|~|~|Mortality|1930369|Ovary|2014
<1|~|~|~|~|Incidence|1930369|Ovary|2014
<1|~|~|~|~|Mortality|3954973|Pancreas|2014
<1|~|~|~|~|Incidence|3954973|Pancreas|2014
<1|~|~|~|~|Mortality|2024604|Prostate|2014
<1|~|~|~|~|Incidence|2024604|Prostate|2014
<1|~|~|~|~|Mortality|3954973|Stomach|2014
<1|~|~|~|~|Incidence|3954973|Stomach|2014
<1|~|~|~|~|Mortality|2024604|Testis|2014
<1|~|~|~|~|Incidence|2024604|Testis|2014
<1|~|~|~|~|Mortality|3954973|Thyroid|2014
<1|~|~|~|~|Incidence|3954973|Thyroid|2014
<1|~|~|~|~|Mortality|3954973|Urinary Bladder|2014
<1|~|~|~|~|Incidence|3954973|Urinary Bladder|2014
1-4|2.0|2.5|2.2|354|Mortality|15940562|All Cancer Sites Combined|2015
1-4|22.9|24.4|23.7|3772|Incidence|15940562|All Cancer Sites Combined|2015
1-4|0.5|0.7|0.6|94|Mortality|15940562|Brain and Other Nervous System|2015
1-4|4.1|4.8|4.5|711|Incidence|15940562|Brain and Other Nervous System|2015
1-4|~|~|~|~|Mortality|7788156|Cervix|2015
1-4|~|~|~|~|Incidence|7788156|Cervix|2015
1-4|~|~|~|~|Mortality|15940562|Colon and Rectum|2015
1-4|~|~|~|~|Incidence|15940562|Colon and Rectum|2015
1-4|~|~|~|~|Mortality|7788156|Corpus and Uterus, NOS|2015
1-4|~|~|~|~|Incidence|7788156|Corpus and Uterus, NOS|2015
1-4|~|~|~|~|Mortality|15940562|Esophagus|2015
1-4|~|~|~|~|Incidence|15940562|Esophagus|2015
1-4|~|~|~|~|Mortality|7788156|Female Breast|2015
1-4|~|~|~|~|Incidence|7788156|Female Breast|2015
1-4|~|~|~|~|Incidence|7788156|Female Breast, <i>in situ</i>|2015
1-4|~|~|~|~|Mortality|15940562|Hodgkin Lymphoma|2015
1-4|~|~|~|~|Incidence|15940562|Hodgkin Lymphoma|2015
1-4|.|.|.|.|Mortality|15940562|Kaposi Sarcoma|2015
1-4|~|~|~|~|Incidence|15940562|Kaposi Sarcoma|2015
1-4|~|~|~|~|Mortality|15940562|Kidney and Renal Pelvis|2015
1-4|1.9|2.4|2.2|344|Incidence|15940562|Kidney and Renal Pelvis|2015
1-4|~|~|~|~|Mortality|15940562|Larynx|2015
1-4|~|~|~|~|Incidence|15940562|Larynx|2015
1-4|0.6|0.9|0.7|115|Mortality|15940562|Leukemias|2015
1-4|8.9|9.8|9.4|1492|Incidence|15940562|Leukemias|2015
1-4|~|~|~|~|Mortality|15940562|Liver and Intrahepatic Bile Duct|2015
1-4|0.5|0.8|0.7|105|Incidence|15940562|Liver and Intrahepatic Bile Duct|2015
1-4|~|~|~|~|Mortality|15940562|Lung and Bronchus|2015
1-4|0.1|0.2|0.1|17|Incidence|15940562|Lung and Bronchus|2015
1-4|~|~|~|~|Mortality|7788156|Male and Female Breast|2015
1-4|~|~|~|~|Incidence|7788156|Male and Female Breast|2015
1-4|~|~|~|~|Incidence|7788156|Male and Female Breast, <i>in situ</i>|2015
1-4|~|~|~|~|Mortality|15940562|Melanomas of the Skin|2015
1-4|0.1|0.2|0.1|19|Incidence|15940562|Melanomas of the Skin|2015
1-4|~|~|~|~|Mortality|15940562|Mesothelioma|2015
1-4|~|~|~|~|Incidence|15940562|Mesothelioma|2015
1-4|~|~|~|~|Mortality|15940562|Myeloma|2015
1-4|~|~|~|~|Incidence|15940562|Myeloma|2015
1-4|~|~|~|~|Mortality|15940562|Non-Hodgkin Lymphoma|2015
1-4|0.6|0.9|0.7|113|Incidence|15940562|Non-Hodgkin Lymphoma|2015
1-4|~|~|~|~|Mortality|15940562|Oral Cavity and Pharynx|2015
1-4|~|~|~|~|Incidence|15940562|Oral Cavity and Pharynx|2015
1-4|~|~|~|~|Mortality|7788156|Ovary|2015
1-4|~|~|~|~|Incidence|7788156|Ovary|2015
1-4|~|~|~|~|Mortality|15940562|Pancreas|2015
1-4|~|~|~|~|Incidence|15940562|Pancreas|2015
1-4|~|~|~|~|Mortality|8152406|Prostate|2015
1-4|~|~|~|~|Incidence|8152406|Prostate|2015
1-4|~|~|~|~|Mortality|15940562|Stomach|2015
1-4|~|~|~|~|Incidence|15940562|Stomach|2015
1-4|~|~|~|~|Mortality|8152406|Testis|2015
1-4|0.1|0.3|0.2|16|Incidence|8152406|Testis|2015
1-4|~|~|~|~|Mortality|15940562|Thyroid|2015
1-4|~|~|~|~|Incidence|15940562|Thyroid|2015
1-4|~|~|~|~|Mortality|15940562|Urinary Bladder|2015
1-4|~|~|~|~|Incidence|15940562|Urinary Bladder|2015
10-14|1.9|2.3|2.1|428|Mortality|20614613|All Cancer Sites Combined|2015
10-14|14.9|16.0|15.4|3177|Incidence|20614613|All Cancer Sites Combined|2015
10-14|0.5|0.8|0.7|135|Mortality|20614613|Brain and Other Nervous System|2015
10-14|2.6|3.1|2.8|585|Incidence|20614613|Brain and Other Nervous System|2015
10-14|~|~|~|~|Mortality|10097361|Cervix|2015
10-14|~|~|~|~|Incidence|10097361|Cervix|2015
10-14|~|~|~|~|Mortality|20614613|Colon and Rectum|2015
10-14|0.4|0.7|0.5|112|Incidence|20614613|Colon and Rectum|2015
10-14|~|~|~|~|Mortality|10097361|Corpus and Uterus, NOS|2015
10-14|~|~|~|~|Incidence|10097361|Corpus and Uterus, NOS|2015
10-14|~|~|~|~|Mortality|20614613|Esophagus|2015
10-14|~|~|~|~|Incidence|20614613|Esophagus|2015
10-14|~|~|~|~|Mortality|10097361|Female Breast|2015
10-14|~|~|~|~|Incidence|10097361|Female Breast|2015
10-14|~|~|~|~|Incidence|10097361|Female Breast, <i>in situ</i>|2015
10-14|~|~|~|~|Mortality|20614613|Hodgkin Lymphoma|2015
10-14|1.1|1.4|1.3|265|Incidence|20614613|Hodgkin Lymphoma|2015
10-14|.|.|.|.|Mortality|20614613|Kaposi Sarcoma|2015
10-14|~|~|~|~|Incidence|20614613|Kaposi Sarcoma|2015
10-14|~|~|~|~|Mortality|20614613|Kidney and Renal Pelvis|2015
10-14|0.1|0.3|0.2|39|Incidence|20614613|Kidney and Renal Pelvis|2015
10-14|~|~|~|~|Mortality|20614613|Larynx|2015
10-14|~|~|~|~|Incidence|20614613|Larynx|2015
10-14|0.5|0.7|0.6|115|Mortality|20614613|Leukemias|2015
10-14|2.9|3.4|3.1|644|Incidence|20614613|Leukemias|2015
10-14|~|~|~|~|Mortality|20614613|Liver and Intrahepatic Bile Duct|2015
10-14|0.1|0.2|0.1|29|Incidence|20614613|Liver and Intrahepatic Bile Duct|2015
10-14|~|~|~|~|Mortality|20614613|Lung and Bronchus|2015
10-14|~|~|~|~|Incidence|20614613|Lung and Bronchus|2015
10-14|~|~|~|~|Mortality|10097361|Male and Female Breast|2015
10-14|~|~|~|~|Incidence|10097361|Male and Female Breast|2015
10-14|~|~|~|~|Incidence|10097361|Male and Female Breast, <i>in situ</i>|2015
10-14|~|~|~|~|Mortality|20614613|Melanomas of the Skin|2015
